rank,skill,skill_key,platform,vendor,source_skillssh,slug_clawhub,url,repo_url,install,match,description,description_zh,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,pop_score,coverage
12,agent-browser,ss:vercel-labs/agent-browser/agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,https://www.skills.sh/vercel-labs/agent-browser/agent-browser,https://github.com/vercel-labs/agent-browser,npx skills add https://github.com/vercel-labs/agent-browser --skill agent-browser,single,,,901230,,,0.995,C
13,parenting-expert,sh:parenting-expert,skillhub-cn,,,,,,,single,育儿大师.Skill——0-18 岁全场景家庭养育支持，服务对象是家长。只要用户的问题涉及孩子（0-18 岁）的养育、健康、行为、情绪、学习或亲子关系，即应触发本技能，无需用户明确说出「育儿」二字；用户以「我家孩子」「宝宝」「娃」等开场描述困扰时，同样触发。典型话题：育儿/带娃/宝宝/婴儿/幼儿/学龄前/青春期/新生儿、发育/里程碑/早教、喂养/辅食/挑食/夜醒/断奶/睡眠、疫苗/体检/湿疹/发烧,育儿大师.Skill——0-18 岁全场景家庭养育支持，服务对象是家长。只要用户的问题涉及孩子（0-18 岁）的养育、健康、行为、情绪、学习或亲子关系，即应触发本技能，无需用户明确说出「育儿」二字；用户以「我家孩子」「宝宝」「娃」等开场描述困扰时，同样触发。典型话题：育儿/带娃/宝宝/婴儿/幼儿/学龄前/青春期/新生儿、发育/里程碑/早教、喂养/辅食/挑食/夜醒/断奶/睡眠、疫苗/体检/湿疹/发烧,,,669543,0.994,C
14,setup-matt-pocock-skills,ss:mattpocock/skills/setup-matt-pocock-skills,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/setup-matt-pocock-skills,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill setup-matt-pocock-skills,single,,,871049,,,0.994,C
15,self-improving,ch:self-improving,clawhub,,,self-improving,https://clawhub.ai/ivangdavila/skills/self-improving,,openclaw skills install @ivangdavila/self-improving,upstream,"Self-reflection + Self-criticism + Self-learning + Self-organizing memory. Agent evaluates its own work, catches mistakes, and improves permanently. Use when...",自我反思+自我批评+自我学习+自组织记忆。智能体评估自身工作、发现错误并持续改进。,,209879,410661,0.994,B
16,handoff,ss:mattpocock/skills/handoff,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/handoff,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill handoff,single,,,845561,,,0.994,C
17,skillscan,ch:skillscan,clawhub,,,skillscan,,,,single,"Security gate for skills. Every new skill MUST pass SkillScan before use. Activate on any install, load, add, evaluate, or safety question about a skill. On...",,,181988,,0.993,C
18,summarize,sh:summarize,skillhub-cn,,,,,,,upstream-unresolved,智能内容摘要工具，支持长文本、文档、网页内容自动摘要，提取核心要点、关键词，支持自定义摘要长度。,智能摘要工具，自动为长文本、文档、网页生成摘要，提取要点与关键词，支持自定义摘要长度。,,,620747,0.993,C
19,triage,ss:mattpocock/skills/triage,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/triage,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill triage,single,,,821424,,,0.993,C
20,skill-vetter,ch:skill-vetter,clawhub,,,skill-vetter,https://clawhub.ai/spclaudehome/skills/skill-vetter,,openclaw skills install @spclaudehome/skill-vetter,upstream,"Security-first skill vetting for AI agents. Use before installing any skill from ClawdHub, GitHub, or other sources. Checks for red flags, permission scope, and suspicious patterns.",AI智能体技能安全预审工具。安装ClawdHub、GitHub等来源技能前，检查风险信号、权限范围及可疑模式。,,273934,313455,0.993,B
21,github,ch:github,clawhub,steipete,,github,https://clawhub.ai/steipete/skills/github,,openclaw skills install @steipete/github,upstream,"Interact with GitHub using the `gh` CLI. Use `gh issue`, `gh pr`, `gh run`, and `gh api` for issues, PRs, CI runs, and advanced queries.",使用 `gh` CLI 与 GitHub 交互，通过 `gh issue`、`gh pr`、`gh run` 和 `gh api` 管理议题、PR、CI 运行及高级查询。,,198965,373792,0.993,B
22,multi-search-engine,sh:multi-search-engine,skillhub-cn,成都智创未来教育管理合伙企业（有限合伙）,,,,,,single,"多搜索引擎集成,16引擎(7国内+9全球)。Multi search engine integration with 16 engines (7 CN + 9 Global)。核心能力: -","多搜索引擎集成,16引擎(7国内+9全球)。Multi search engine integration with 16 engines (7 CN + 9 Global)。核心能力: -",,,598041,0.992,C
23,prototype,ss:mattpocock/skills/prototype,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/prototype,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill prototype,single,,,818440,,,0.992,C
24,grilling,ss:mattpocock/skills/grilling,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/grilling,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill grilling,single,,,748597,,,0.991,C
25,anti-fraud,sh:anti-fraud,skillhub-cn,,,,,,,single,"防骗大师.Skill:你身边的生活类防骗专家。 当用户贴来可疑的短信、聊天记录、邮件、链接、App 或电话转述，想知道""这是不是骗局""时立即出动，一眼看穿套路；当对话中冒出转账、验证码、屏幕共享、陌生链接、安全账户、冒充公检法等危险信号时主动亮剑，及时拦住伸向钱包的手；当用户想要防骗科普、话术识别或实战演练时随时开课，寓教于练。覆盖刷单返利、杀猪盘、冒充公检法、冒充客服、虚假投资、钓鱼链接、冒充老","防骗大师.Skill:你身边的生活类防骗专家。 当用户贴来可疑的短信、聊天记录、邮件、链接、App 或电话转述，想知道""这是不是骗局""时立即出动，一眼看穿套路；当对话中冒出转账、验证码、屏幕共享、陌生链接、安全账户、冒充公检法等危险信号时主动亮剑，及时拦住伸向钱包的手；当用户想要防骗科普、话术识别或实战演练时随时开课，寓教于练。覆盖刷单返利、杀猪盘、冒充公检法、冒充客服、虚假投资、钓鱼链接、冒充老",,,448873,0.991,C
26,vercel-react-best-practices,ss:vercel-labs/agent-skills/vercel-react-best-practices,skills.sh,vercel-labs,vercel-labs/agent-skills,,https://www.skills.sh/vercel-labs/agent-skills/vercel-react-best-practices,https://github.com/vercel-labs/agent-skills,npx skills add https://github.com/vercel-labs/agent-skills --skill vercel-react-best-practices,single,,,732667,,,0.991,C
27,multi-search-engine,ch:multi-search-engine,clawhub,,,multi-search-engine,,,,single,"Multi search engine integration with 16 engines (7 CN + 9 Global). Supports advanced search operators, time filters, site search, privacy engines, and Wolfra...",,,161574,,0.991,C
28,beatra,sh:beatra,skillhub-cn,乐萱同行科技（深圳）有限公司,,,,,,single,通过同一个AI创作工具完成AI图片、视频、音乐与语音创作，查找公开社交数据，编辑视觉成果，并集中查看和管理生成资产。Beatra 全能创作支持AI图片生成（文生图）、AI视频生成（图生视频）和AI视频编辑，通过AI音乐生成把想法做成歌曲或纯音乐，也可用AI语音生成（文字转语音）、多语言旁白和AI语音克隆完成跨媒介内容；还能查找抖音数据、小红书数据，以及 YouTube、TikTok、Instagr,通过同一个AI创作工具完成AI图片、视频、音乐与语音创作，查找公开社交数据，编辑视觉成果，并集中查看和管理生成资产。Beatra 全能创作支持AI图片生成（文生图）、AI视频生成（图生视频）和AI视频编辑，通过AI音乐生成把想法做成歌曲或纯音乐，也可用AI语音生成（文字转语音）、多语言旁白和AI语音克隆完成跨媒介内容；还能查找抖音数据、小红书数据，以及 YouTube、TikTok、Instagr,,,445202,0.99,C
29,ontology,ch:ontology,clawhub,,,ontology,https://clawhub.ai/oswalpalash/skills/ontology,,openclaw skills install @oswalpalash/ontology,upstream,"Typed knowledge graph for structured agent memory and composable skills. Use when creating/querying entities (Person, Project, Task, Event, Document), linkin...","类型化知识图谱，用于结构化智能体记忆与可组合技能。适用于以下场景：创建/查询实体（人物、项目、任务、事件、文档）、关联相关对象、强制执行约束、将多步操作规划为图谱变换，或当技能需要共享状态时。触发关键词包括""记住""""我知道关于什么""""将X链接到Y""""显示依赖关系""、实体增删改查操作，以及跨技能数据访问。",,198971,275478,0.99,B
30,lark-doc,ss:open.feishu.cn/lark-doc,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-doc,,,single,,,717707,,,0.99,C
31,lark-base,ss:open.feishu.cn/lark-base,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-base,,,single,,,717456,,,0.989,C
32,lark-drive,ss:open.feishu.cn/lark-drive,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-drive,,,single,,,717302,,,0.988,C
33,lark-shared,ss:open.feishu.cn/lark-shared,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-shared,,,single,,,716917,,,0.988,C
34,smart-charts,sh:smart-charts,skillhub-cn,,,,,,,single,将数据文件（CSV/TSV/TXT/XLSX/XLS/JSON）转化为独立交互式 ECharts HTML 图表——32 类图表、3 套主题，全离线无需 CDN。出图前可先取数据画像（--profile：每列 dtype/基数/缺失/样本/统计、实体粒度、候选洞察信号、疑似非数据行），让 agent 在用户没说想看什么时自己读懂数据并决定出什么图——哪列是 ID、哪列是维度、出什么图，全部由 ag,32种图表，3 个主题，2步生成： 1.上传数据 — 将 CSV / Excel / JSON 等格式的数据文件拖入对话框; 2.查看结果 — 交互式图表（HTML），可保存图表为图片.,,,363003,0.987,C
35,admapix,ch:admapix,clawhub,,,admapix,https://clawhub.ai/fly0pants/skills/admapix,,openclaw skills install @fly0pants/admapix,upstream,"AdMapix raw data layer for ad creatives, apps, rankings, downloads/revenue, and market metadata. Returns structured JSON from the AdMapix API; the calling ag...",AdMapix 原始数据层，提供广告创意、应用、排名、下载/收入及市场元数据。返回 AdMapix API 的结构化 JSON；调用方...,,133521,320199,0.987,B
36,lark-im,ss:open.feishu.cn/lark-im,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-im,,,single,,,716708,,,0.987,C
37,weather,ch:weather,clawhub,steipete,,weather,https://clawhub.ai/steipete/skills/weather,,openclaw skills install @steipete/weather,upstream,Get current weather and forecasts (no API key required).,获取当前天气和预报（无需API密钥）,,170032,256816,0.987,B
38,proactive-agent,ch:proactive-agent,clawhub,,,proactive-agent,https://clawhub.ai/halthelobster/skills/proactive-agent,,openclaw skills install @halthelobster/proactive-agent,upstream,"Transform AI agents from task-followers into proactive partners that anticipate needs and continuously improve. Now with WAL Protocol, Working Buffer, Autonomous Crons, and battle-tested patterns. Par",将 AI 代理从任务执行者转变为能够预见需求、持续优化的主动伙伴。现已支持 WAL Protocol、Working Buffer、Autonomous Crons 及经过实战验证的模式。属于 Hal Stack 🦞。,,175912,251687,0.986,B
39,ima-skills,sh:ima-skills,skillhub-cn,腾讯科技（深圳）有限公司,,,,,,single,ima skills，支持对笔记、知识库的读取、写入和检索等操作，可以帮你随时记录，收入ima智能管理，随时调用，龙虾输出精准懂你，友好的接入了OpenClaw生态，构建你的第二大脑。,ima skills，支持对笔记、知识库的读取、写入和检索等操作，可以帮你随时记录，收入ima智能管理，随时调用，龙虾输出精准懂你，友好的接入了OpenClaw生态，构建你的第二大脑。,,,360300,0.986,C
40,lark-approval,ss:open.feishu.cn/lark-approval,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-approval,,,single,,,716670,,,0.986,C
41,obsidian,ch:obsidian,clawhub,steipete,,obsidian,https://clawhub.ai/steipete/skills/obsidian,,openclaw skills install @steipete/obsidian,single,Work with Obsidian vaults (plain Markdown notes) and automate via obsidian-cli.,,,110102,,0.986,C
42,lark-calendar,ss:open.feishu.cn/lark-calendar,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-calendar,,,single,,,716534,,,0.985,C
43,gog,ch:gog,clawhub,steipete,,gog,https://clawhub.ai/steipete/skills/gog,,openclaw skills install @steipete/gog,upstream,"Google Workspace CLI for Gmail, Calendar, Drive, Contacts, Sheets, and Docs.",Google Workspace 命令行工具，支持 Gmail、日历、云端硬盘、通讯录、表格和文档。,,194574,201583,0.985,B
44,humanizer,ch:humanizer,clawhub,,,humanizer,https://clawhub.ai/biostartechnology/skills/humanizer,,openclaw skills install @biostartechnology/humanizer,upstream,"Remove signs of AI-generated writing from text. Use when editing or reviewing text to make it sound more natural and human-written. Based on Wikipedia's comprehensive ""Signs of AI writing"" guide. Dete","消除AI写作痕迹，使文本更自然真实。基于维基百科""AI写作特征""指南，识别并修正夸张象征、宣传用语、肤浅-ing分析、模糊归因、破折号滥用、三项排比、AI词汇、负面平行结构及冗长连接词等模式。",,130969,282931,0.985,B
45,lark-sheets,ss:open.feishu.cn/lark-sheets,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-sheets,,,single,,,716295,,,0.985,C
46,lark-wiki,ss:open.feishu.cn/lark-wiki,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-wiki,,,single,,,716063,,,0.984,C
47,baozheng,sh:baozheng,skillhub-cn,,,,,,,single,包拯.Skills你身边的专家律师团 — 专业法律咨询 + 要素式/通用起诉状起草 + 刑事专项材料辅助 + 法条分析与法规检索。flk.npc.gov.cn API实时法条优先，不可用时AI知识库降级兜底，**法条来源按四档标注可核验（已核验-flk API / 已核验-单源 / 已引-离线库 / 未核验-模型生成），交付末尾附法条/事实/金额/程序分项置信度**；以22类法律领域覆盖矩阵约束路,包拯.Skills你身边的专家律师团 — 专业法律咨询 + 要素式/通用起诉状起草 + 刑事专项材料辅助 + 法条分析与法规检索。flk.npc.gov.cn API实时法条优先，不可用时AI知识库降级兜底，**法条来源按四档标注可核验（已核验-flk API / 已核验-单源 / 已引-离线库 / 未核验-模型生成），交付末尾附法条/事实/金额/程序分项置信度**；以22类法律领域覆盖矩阵约束路,,,310494,0.983,C
48,lark-contact,ss:open.feishu.cn/lark-contact,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-contact,,,single,,,715819,,,0.983,C
49,lark-slides,ss:open.feishu.cn/lark-slides,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-slides,,,single,,,715573,,,0.982,C
50,luhe-paper-free-pro,sh:luhe-paper-free-pro,skillhub-cn,重庆维普朗润数据科技有限公司,,,,,,single,露禾论文写作助手（免费版）：一句话生成引用可溯源、不编造的专业学术论文，按国标 GB/T 7714 插入真实文献引用，中英文 3000/5000/8000 字，一键导出 Word。说「写论文 / 帮我写论文」即可使用。,露禾论文写作助手（免费版）：一句话生成引用可溯源、不编造的专业学术论文，按国标 GB/T 7714 插入真实文献引用，中英文 3000/5000/8000 字，一键导出 Word。说「写论文 / 帮我写论文」即可使用。,,,301361,0.982,C
51,lark-minutes,ss:open.feishu.cn/lark-minutes,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-minutes,,,single,,,715549,,,0.982,C
52,lark-mail,ss:open.feishu.cn/lark-mail,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-mail,,,single,,,715538,,,0.981,C
53,pollyreach,ch:pollyreach,clawhub,,,pollyreach,,,,single,"PollyReach gives every AI agent a phone number and the ability to get things done over the phone — finding contacts, making calls, and completing tasks. Just...",,,101536,,0.981,C
54,lark-task,ss:open.feishu.cn/lark-task,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-task,,,single,,,715531,,,0.98,C
55,lark-event,ss:open.feishu.cn/lark-event,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-event,,,single,,,715448,,,0.979,C
56,agent-browser-clawdbot,ch:agent-browser-clawdbot,clawhub,,,agent-browser-clawdbot,https://clawhub.ai/matrixy/skills/agent-browser-clawdbot,,openclaw skills install @matrixy/agent-browser-clawdbot,upstream,Headless browser automation CLI optimized for AI agents with accessibility tree snapshots and ref-based element selection,专为AI智能体优化的无头浏览器自动化CLI，支持无障碍树快照和基于引用的元素选择。,,156544,163131,0.979,B
57,lark-whiteboard,ss:open.feishu.cn/lark-whiteboard,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-whiteboard,,,single,,,715434,,,0.979,C
58,unclecheng-reduce-ai-perception-v2,sh:unclecheng-reduce-ai-perception-v2,skillhub-cn,,,,,,,single,去除文本中的AI写作痕迹，让文字读起来更像人类写作。当用户要求'去AI味'、'降AI味'、'让回复更像人话'、'润色'、'改写得更自然'时使用。检测并修复：AI高频词汇、过度结构化、虚假客观性、机械化连接词、完美主义陷阱、公式化结尾、过度修饰、情感缺失、'不是而是'假靶子/同义替换、莫名其妙的比喻、高频堆叠副词等问题。,去除文本中的AI写作痕迹，让文字读起来更像人类写作。当用户要求'去AI味'、'降AI味'、'让回复更像人话'、'润色'、'改写得更自然'时使用。检测并修复：AI高频词汇、过度结构化、虚假客观性、机械化连接词、完美主义陷阱、公式化结尾、过度修饰、情感缺失等问题。,,,256744,0.978,C
59,lark-attendance,ss:open.feishu.cn/lark-attendance,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-attendance,,,single,,,715289,,,0.978,C
60,lark-openapi-explorer,ss:open.feishu.cn/lark-openapi-explorer,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-openapi-explorer,,,single,,,715235,,,0.977,C
61,skill-creator,ch:skill-creator,clawhub,,,skill-creator,https://clawhub.ai/chindden/skills/skill-creator,,openclaw skills install @chindden/skill-creator,upstream,"Guide for creating effective skills. This skill should be used when users want to create a new skill (or update an existing skill) that extends Claude's capabilities with specialized knowledge, workfl",创建有效技能指南。当用户希望创建新技能（或更新现有技能）以利用专业知识、工作流程或工具集成扩展 Claude 的能力时，应使用此技能。,,101594,200228,0.977,B
62,lark-skill-maker,ss:open.feishu.cn/lark-skill-maker,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-skill-maker,,,single,,,714895,,,0.977,C
63,evolver,ch:evolver,clawhub,,,evolver,,,,single,A self-evolution engine for AI agents. Analyzes runtime history to identify improvements and applies protocol-constrained evolution. Communicates with EvoMap...,,,89567,,0.977,C
64,web-tools-guide,sh:web-tools-guide,skillhub-cn,,,,,,,single,,"MANDATORY before calling web_search, web_fetch, browser, or opencli. Contains required error-handling procedures (web_search failure → must guide user to configure API), fallback chain (opencli CLI co",,,240381,0.976,C
65,lark-vc,ss:open.feishu.cn/lark-vc,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-vc,,,single,,,714876,,,0.976,C
66,wps-office-suite,sh:wps-office-suite,skillhub-cn,,,,,,,single,WPS Office 全家桶 - 四引擎（WPS/MS Office/LibreOffice/纯Python）智能识别用户已安装软件，纯Python模式支持排序/筛选/图表/公式/统计，含文档模板（代码生成）、最佳实践案例、故障排除大章（20+避坑+15 FAQ+15错误ID 统一索引）、自动重试、硬件自适应、环境自检、Skill更新提醒；v5.1新增：kingdoc云端桥接（白名单探测+配置预检,WPS Office 全家桶 - 四引擎（WPS/MS Office/LibreOffice/纯Python）智能识别用户已安装软件，纯Python模式支持排序/筛选/图表/公式/统计，含文档模板（代码生成）、最佳实践案例、故障排除大章（20+避坑+15 FAQ+15错误ID 统一索引）、自动重试、硬件自适应、环境自检、Skill更新提醒；v5.1新增：kingdoc云端桥接（白名单探测+配置预检,,,228557,0.975,C
67,lark-workflow-meeting-summary,ss:open.feishu.cn/lark-workflow-meeting-summary,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-workflow-meeting-summary,,,single,,,714760,,,0.975,C
68,word-docx,ch:word-docx,clawhub,,,word-docx,https://clawhub.ai/ivangdavila/skills/word-docx,,openclaw skills install @ivangdavila/word-docx,upstream,"Create, inspect, and edit Microsoft Word documents and DOCX files with reliable styles, numbering, tracked changes, tables, sections, and compatibility check...",创建、检查和编辑 Microsoft Word 文档及 DOCX 文件，支持样式、编号、修订记录、表格、分节符及兼容性检查等功能。,,92888,198132,0.975,B
69,lark-workflow-standup-report,ss:open.feishu.cn/lark-workflow-standup-report,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-workflow-standup-report,,,single,,,714578,,,0.974,C
70,contextweave-interactive-architecture,sh:contextweave-interactive-architecture,skillhub-cn,,,,,,,single,将架构、流程和长文本转换为交互式结构图，并支持原生可编辑 PPTX 与 Visio 导出,使用 ContextWeave 生成或修改架构图、流程图、思维导图和复杂信息图。适用于需要从代码、文件或自然语言中提取结构与关系并实际产出 CW、SVG、HTML、可编辑 PPTX 或原生 VSDX 的请求；未特别说明时，PPTX 与 Visio 使用原生形状和连接器导出。不适用于统计图表、手绘插画或像素级排版。,,,227004,0.974,C
71,lark-okr,ss:open.feishu.cn/lark-okr,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-okr,,,single,,,696046,,,0.974,C
72,mysteel-datasearch,sh:mysteel-datasearch,skillhub-cn,上海钢联电子商务股份有限公司,,,,,,single,"大宗商品价格数据查询技能。用于查询大宗商品期现货价格、宏观经济指标、产业链供需数据、进出口库存数据、金融市场数据等。当用户询问：(1) 期货/现货价格查询，如""螺纹钢价格""、""铜期货收盘价""； (2) 历史行情或趋势分析；(3) 区域或企业价格对比；(4) 宏观经济指标，如GDP、CPI；(5) 产业链上下游数据；(6) 多市场金融数据（期权、股票、债券、外汇）；(7) 结算确认单生成时触发此技能","大宗商品价格数据查询技能。用于查询大宗商品期现货价格、宏观经济指标、产业链供需数据、进出口库存数据、金融市场数据等。当用户询问：(1) 期货/现货价格查询，如""螺纹钢价格""、""铜期货收盘价""； (2) 历史行情或趋势分析；(3) 区域或企业价格对比；(4) 宏观经济指标，如GDP、CPI；(5) 产业链上下游数据；(6) 多市场金融数据（期权、股票、债券、外汇）；(7) 结算确认单生成时触发此技能",,,223455,0.973,C
73,nano-pdf,ch:nano-pdf,clawhub,steipete,,nano-pdf,https://clawhub.ai/steipete/skills/nano-pdf,,openclaw skills install @steipete/nano-pdf,upstream,Edit PDFs with natural-language instructions using the nano-pdf CLI.,使用nano-pdf CLI通过自然语言指令编辑PDF,,121770,131416,0.973,B
74,teach,ss:mattpocock/skills/teach,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/teach,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill teach,single,,,690858,,,0.973,C
75,nano-banana-pro,ch:nano-banana-pro,clawhub,steipete,,nano-banana-pro,https://clawhub.ai/steipete/skills/nano-banana-pro,,openclaw skills install @steipete/nano-banana-pro,upstream,Generate/edit images with Nano Banana Pro (Gemini 3 Pro Image). Use for image create/modify requests incl. edits. Supports text-to-image + image-to-image; 1K/2K/4K; use --input-image.,使用 Nano Banana Pro (Gemini 3 Pro Image) 生成或编辑图像。支持文生图、图生图及 1K/2K/4K 分辨率，适用于图像创建、修改及编辑请求，使用 --input-image 指定输入图像。,,106957,132997,0.973,B
