rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,wis,popularity,momentum,buzz,maintenance,trust,coverage,anomaly
37,tdd,skills.sh,mattpocock,mattpocock/skills,,single,,,729288,,,62.2,0.996,0.982,0.454,,0.2,C,
38,azure-diagnostics,skills.sh,microsoft,microsoft/azure-skills,,single,,,536726,,,62.2,0.97,0.812,0.12,,0.7,C,
39,airunway-aks-setup,skills.sh,microsoft,microsoft/azure-skills,,single,,,283168,,,62.2,0.876,0.762,,,0.7,C,
40,azure-prepare,skills.sh,microsoft,microsoft/azure-skills,,single,,,536159,,,62.1,0.968,0.81,0.12,,0.7,C,
41,azure-deploy,skills.sh,microsoft,microsoft/azure-skills,,single,,,536216,,,62,0.969,0.8,0.12,,0.7,C,
42,api-gateway,clawhub,,,api-gateway,upstream,"Connect to external services through Maton-managed API routes. Use this skill only after the user names the target app, account, and task. Start with read/list calls when possible and follow the app-s",通过 Maton 管理的 API 路由连接外部服务；仅在用户指定目标应用、账户和任务后使用；以读取/列...,,85826,116751,62,0.971,,0.61,0.808,0.2,B,
43,triage,skills.sh,mattpocock,mattpocock/skills,,single,,,630971,,,61.9,0.992,0.945,0.471,,0.2,C,
44,prototype,skills.sh,mattpocock,mattpocock/skills,,single,,,619116,,,61.9,0.991,0.972,0.456,,0.2,C,
45,azure-validate,skills.sh,microsoft,microsoft/azure-skills,,single,,,535723,,,61.9,0.967,0.798,0.12,,0.7,C,
46,azure-resource-visualizer,skills.sh,microsoft,microsoft/azure-skills,,single,,,534432,,,61.9,0.963,0.808,0.12,,0.7,C,
47,entra-agent-id,skills.sh,microsoft,microsoft/azure-skills,,single,,,257330,,,61.9,0.867,0.76,,,0.7,C,
48,handoff,skills.sh,mattpocock,mattpocock/skills,,single,,,634988,,,61.8,0.993,0.95,0.461,,0.2,C,
49,entra-app-registration,skills.sh,microsoft,microsoft/azure-skills,,single,,,534925,,,61.8,0.966,0.795,0.12,,0.7,C,
50,appinsights-instrumentation,skills.sh,microsoft,microsoft/azure-skills,,single,,,534689,,,61.7,0.965,0.792,0.12,,0.7,C,
51,azure-resource-lookup,skills.sh,microsoft,microsoft/azure-skills,,single,,,534602,,,61.7,0.964,0.788,0.12,,0.7,C,
52,azure-compliance,skills.sh,microsoft,microsoft/azure-skills,,single,,,534547,,,61.7,0.964,0.79,0.12,,0.7,C,
53,nano-banana-pro,clawhub,steipete,,nano-banana-pro,upstream,Generate/edit images with Nano Banana Pro (Gemini 3 Pro Image). Use for image create/modify requests incl. edits. Supports text-to-image + image-to-image; 1K/2K/4K; use --input-image.,使用 Nano Banana Pro (Gemini 3 Pro Image) 生成或编辑图像。支持文生图、图生图及 1K/2K/4K 分辨率，适用于图像创建、修改及编辑请求，使用 --input-image 指定输入图像。,,106255,129808,61.3,0.981,,0.456,0.283,0.7,B,
54,azure-reliability,skills.sh,microsoft,microsoft/azure-skills,,single,,,216551,,,61.2,0.845,0.758,,,0.7,C,
55,vercel-composition-patterns,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,297798,,,61.1,0.879,0.685,,,0.7,C,
56,github,clawhub,steipete,,github,upstream,"Interact with GitHub using the `gh` CLI. Use `gh issue`, `gh pr`, `gh run`, and `gh api` for issues, PRs, CI runs, and advanced queries.",使用 `gh` CLI 与 GitHub 交互，通过 `gh issue`、`gh pr`、`gh run` 和 `gh api` 管理议题、PR、CI 运行及高级查询。,,196136,365207,61.1,0.995,,0.474,0.218,0.7,B,
57,supabase,skills.sh,supabase,supabase/agent-skills,,single,,,229203,,,60.7,0.853,0.708,,,0.7,C,
58,brave-search,clawhub,steipete,,brave-search,upstream,"Web search and content extraction via Brave Search API. Use for searching documentation, facts, or any web content. Lightweight, no browser required.",通过 Brave Search API 进行网页搜索与内容提取。适用于搜索文档、事实或任何网页内容。轻量级，无需浏览器。,,61199,75268,60.5,0.956,,0.463,0.273,0.7,B,
59,python-appservice-deploy,skills.sh,microsoft,microsoft/azure-skills,,single,,,139949,,,60.1,0.808,0.757,,,0.7,C,
60,obsidian,clawhub,steipete,,obsidian,upstream,Work with Obsidian vaults (plain Markdown notes) and automate via obsidian-cli.,操作 Obsidian 仓库（纯 Markdown 笔记）并通过 obsidian-cli 自动化。,,107894,123346,59.4,0.98,,0.45,0.165,0.7,B,
61,neon-postgres,skills.sh,neondatabase,neondatabase/agent-skills,,single,,,101393,,,59.2,0.781,0.75,,,0.7,C,
62,weather,clawhub,steipete,,weather,upstream,Get current weather and forecasts (no API key required).,获取当前天气和预报（无需API密钥）,,167316,243779,59.1,0.99,,0.43,0.155,0.7,B,
63,notion,clawhub,steipete,,notion,upstream,"Notion API for creating and managing pages, databases, and blocks.",用于创建和管理页面、数据库及块的 Notion API。,,101281,106181,59,0.975,,0.444,0.155,0.7,B,
64,gog,clawhub,steipete,,gog,upstream,"Google Workspace CLI for Gmail, Calendar, Drive, Contacts, Sheets, and Docs.",Google Workspace 命令行工具，支持 Gmail、日历、云端硬盘、通讯录、表格和文档。,,191514,199702,58.2,0.99,,0.384,0.155,0.7,B,
65,slack,clawhub,steipete,,slack,upstream,"Use when you need to control Slack from Clawdbot via the slack tool, including reacting to messages or pinning/unpinning items in Slack channels or DMs.",当需要通过 slack 工具从 Clawdbot 控制 Slack 时使用，包括在频道或私信中回复消息或置顶/取消置顶项目。,,53305,58708,58.2,0.944,,0.45,0.155,0.7,B,
66,grilling,skills.sh,mattpocock,mattpocock/skills,,single,,,497955,,,58.1,0.959,0.988,,,0.2,C,
67,domain-modeling,skills.sh,mattpocock,mattpocock/skills,,single,,,456468,,,57.9,0.955,0.983,,,0.2,C,
68,codebase-design,skills.sh,mattpocock,mattpocock/skills,,single,,,443304,,,57.7,0.95,0.98,,,0.2,C,
69,paper-context-resolver,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,447307,,,57.6,0.953,0.968,,,0.2,C,
70,diagnosing-bugs,skills.sh,mattpocock,mattpocock/skills,,single,,,437252,,,57.6,0.949,0.977,,,0.2,C,
71,repo-intake-and-plan,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,446598,,,57.5,0.952,0.962,,,0.2,C,
72,openai-whisper,clawhub,steipete,,openai-whisper,upstream,Local speech-to-text with the Whisper CLI (no API key).,使用 Whisper CLI 进行本地语音转文字（无需 API 密钥）,,87326,105504,57.5,0.971,,0.377,0.155,0.7,B,
73,teach,skills.sh,mattpocock,mattpocock/skills,,single,,,496216,,,57.4,0.958,0.943,,,0.2,C,
74,env-and-assets-bootstrap,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,446509,,,57.4,0.952,0.96,,,0.2,C,
75,minimal-run-and-audit,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,446493,,,57.4,0.951,0.955,,,0.2,C,
76,anti-ui-slop,skills.sh,uizze.com,uizze.com,,single,,,401045,,,57.1,0.923,0.993,,,0.2,C,
77,code-review,skills.sh,mattpocock,mattpocock/skills,,single,,,377382,,,56.7,0.917,0.978,,,0.2,C,
78,ask-matt,skills.sh,mattpocock,mattpocock/skills,,single,,,404914,,,56.6,0.931,0.942,,,0.2,C,
79,lark-apps,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,507536,,,56.5,0.96,0.88,,,0.2,C,
80,hyperframes-cli,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,413757,,,56.2,0.94,0.902,,,0.2,C,
81,implement,skills.sh,mattpocock,mattpocock/skills,,single,,,396323,,,56.2,0.921,0.937,,,0.2,C,
82,webapp-testing,skills.sh,anthropics,anthropics/skills,,single,,,137246,,,56.2,0.807,0.5,,,0.7,C,
83,discord,clawhub,steipete,,discord,upstream,"Use when you need to control Discord from Clawdbot via the discord tool: send messages, react, post or upload stickers, upload emojis, run polls, manage threads/pins/search, fetch permissions or membe",用于通过 Clawdbot 的 discord 工具控制 Discord，包括发送消息、反应、发布或上传贴纸、上传表情符号、创建投票、管理话题/置顶/搜索、获取权限/成员/角色/频道信息，或在私聊/频道中执行管理操作。,,39431,47723,56.2,0.916,,,0.283,0.7,B,
84,playwright-cli,skills.sh,microsoft,microsoft/playwright-cli,,single,,,126034,,,56.1,0.797,0.51,,,0.7,C,
85,neon,skills.sh,neondatabase,neondatabase/agent-skills,,single,,,56402,,,56.1,0.682,0.74,,,0.7,C,
86,azure-app-onboard,skills.sh,microsoft,microsoft/azure-skills,,single,,,55156,,,56.1,0.676,0.755,,,0.7,C,
87,azure-app-onboard-prereq,skills.sh,microsoft,microsoft/azure-skills,,single,,,55064,,,56.1,0.675,0.753,,,0.7,C,
88,azure-rbac,skills.sh,microsoft,microsoft/azure-skills,,single,,,483899,,,56,0.957,0.183,,,0.7,C,
89,wayfinder,skills.sh,mattpocock,mattpocock/skills,,single,,,349989,,,56,0.908,0.948,,,0.2,C,
90,to-spec,skills.sh,mattpocock,mattpocock/skills,,single,,,336153,,,55.9,0.895,0.973,,,0.2,C,
91,pptx,skills.sh,anthropics,anthropics/skills,,single,,,205494,,,55.9,0.838,0.42,,,0.7,C,
92,lark-workflow-meeting-summary,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,597203,,,55.8,0.975,0.835,0.279,,0.2,C,
93,vercel-react-native-skills,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,191418,,,55.8,0.829,0.432,,,0.7,C,
94,research,skills.sh,mattpocock,mattpocock/skills,,single,,,343250,,,55.6,0.897,0.947,,,0.2,C,
95,ai-research-explore,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,307573,,,55.6,0.886,0.97,,,0.2,C,
96,ai-video-generation,skills.sh,skills-101,skills-101/superpowers,,single,,,259192,,,55.6,0.87,1,,,0.2,C,
97,to-tickets,skills.sh,mattpocock,mattpocock/skills,,single,,,330477,,,55.5,0.892,0.952,,,0.2,C,
98,analyze-project,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,307469,,,55.5,0.886,0.965,,,0.2,C,
99,ai-research-reproduction,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,307375,,,55.5,0.885,0.967,,,0.2,C,
100,safe-debug,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,307080,,,55.5,0.883,0.963,,,0.2,C,
