rank,skill,skill_key,platform,vendor,source_skillssh,slug_clawhub,url,repo_url,install,match,description,description_zh,verified_by,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,pop_score,category,flags
16,nano-banana-pro,ch:nano-banana-pro,clawhub,steipete,,nano-banana-pro,https://clawhub.ai/steipete/skills/nano-banana-pro,,openclaw skills install @steipete/nano-banana-pro,upstream,Generate/edit images with Nano Banana Pro (Gemini 3 Pro Image). Use for image create/modify requests incl. edits. Supports text-to-image + image-to-image; 1K/2K/4K; use --input-image.,使用 Nano Banana Pro (Gemini 3 Pro Image) 生成或编辑图像。支持文生图、图生图及 1K/2K/4K 分辨率，适用于图像创建、修改及编辑请求，使用 --input-image 指定输入图像。,clawhub,,107027,134631,0.971,design-media,
17,nano-pdf,ch:nano-pdf,clawhub,steipete,,nano-pdf,https://clawhub.ai/steipete/skills/nano-pdf,,openclaw skills install @steipete/nano-pdf,upstream,Edit PDFs with natural-language instructions using the nano-pdf CLI.,使用nano-pdf CLI通过自然语言指令编辑PDF,clawhub,,121930,132276,0.971,office-efficiency,
18,web-design-guidelines,ss:vercel-labs/agent-skills/web-design-guidelines,skills.sh,vercel-labs,vercel-labs/agent-skills,,https://www.skills.sh/vercel-labs/agent-skills/web-design-guidelines,https://github.com/vercel-labs/agent-skills,npx skills add https://github.com/vercel-labs/agent-skills --skill web-design-guidelines,single,,,skills.sh,664539,,,0.968,design-media,
19,talking-avatar-video,sh:talking-avatar-video,skillhub-cn,乐萱同行科技（深圳）有限公司,,,,,,single,用一张人像和一段短脚本或语音，制作有明确讲述内容的数字人口播视频。可使用现成录音，也可以先选择音色，把脚本生成旁白，让画面中的人物随声音完成稳定、自然的口播。适合 AI 主播、虚拟主播视频、数字人讲解、让照片说话、照片说话视频、产品讲解视频、数字人培训视频、公告和社交口播，并在交付后检查人物一致性、声音清晰度、口型同步和动作稳定性。,用一张人像和一段短脚本或语音，制作有明确讲述内容的数字人口播视频。可使用现成录音，也可以先选择音色，把脚本生成旁白，让画面中的人物随声音完成稳定、自然的口播。适合 AI 主播、虚拟主播视频、数字人讲解、让照片说话、照片说话视频、产品讲解视频、数字人培训视频、公告和社交口播，并在交付后检查人物一致性、声音清晰度、口型同步和动作稳定性。,skillhub,,,200193,0.966,design-media,
20,tencent-meeting-mcp,sh:tencent-meeting-mcp,skillhub-cn,腾讯科技（深圳）有限公司,,,,,,single,腾讯会议：会议管理与音视频协作助手。预约/创建/修改/取消会议、查询会议详情与会议号转换、查看参会成员/受邀人/等候室成员、管理会中等候室成员、查询用户会议列表（即将开始/进行中/已结束）、搜索会议列表、导出参会成员统计与获取异步任务结果、查询录制列表与播放地址、搜索录制文件、获取转写全文/段落/搜索、获取AI智能纪要（支持多语言翻译）、搜索与查询元宝纪要（支持关键词/时间过滤、获取概览/要点/待,腾讯会议：会议管理与音视频协作助手。预约/创建/修改/取消会议、查询会议详情与会议号转换、查看参会成员/受邀人/等候室成员、管理会中等候室成员、查询用户会议列表（即将开始/进行中/已结束）、搜索会议列表、导出参会成员统计与获取异步任务结果、查询录制列表与播放地址、搜索录制文件、获取转写全文/段落/搜索、获取AI智能纪要（支持多语言翻译）、搜索与查询元宝纪要（支持关键词/时间过滤、获取概览/要点/待,skillhub,,,192620,0.964,office-efficiency,
21,notion,ch:notion,clawhub,steipete,,notion,https://clawhub.ai/steipete/skills/notion,,openclaw skills install @steipete/notion,upstream,"Notion API for creating and managing pages, databases, and blocks.",用于创建和管理页面、数据库及块的 Notion API。,clawhub,,103364,109224,0.962,dev-programming,
22,lingyi-wx-video-script-creator-plus,sh:lingyi-wx-video-script-creator-plus,skillhub-cn,零一裂变（深圳）科技有限公司,,,,,,single,【零一数科·出品】视频号挂车爆单短视频脚本生成（付费版）。一条链接二创脚本，丢进爆款视频号链接即以此骨架改写成你的挂车脚本，或按方向/目的/商品原创多条口播脚本（含分段表、口播全文、六维质检评分）。,【零一数科·出品】视频号挂车爆单短视频脚本生成（付费版）。一条链接二创脚本，丢进爆款视频号链接即以此骨架改写成你的挂车脚本，或按方向/目的/商品原创多条口播脚本（含分段表、口播全文、六维质检评分）。,skillhub,,,166483,0.961,content-creation,
23,microsoft-foundry,ss:microsoft/azure-skills/microsoft-foundry,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/microsoft-foundry,https://github.com/microsoft/azure-skills,npx skills add https://github.com/microsoft/azure-skills --skill microsoft-foundry,single,,,skills.sh,610652,,,0.959,it-ops-security,
24,lingyi-wx-viral-script-generator,sh:lingyi-wx-viral-script-generator,skillhub-cn,零一裂变（深圳）科技有限公司,,,,,,single,【零一数科·出品】视频号爆款文案生成（体验版）。免费免登录出脚本，给创作目的、行业、受众、选题就按爆款结构（Hook-中段-CTA、节奏标签）产出口播脚本，信息不全也能按爆款潜质兜底。本地运行、无需 Key，零成本上手。,【零一数科·出品】视频号爆款文案生成（体验版）。免费免登录出脚本，给创作目的、行业、受众、选题就按爆款结构（Hook-中段-CTA、节奏标签）产出口播脚本，信息不全也能按爆款潜质兜底。本地运行、无需 Key，零成本上手。,skillhub,,,162991,0.959,content-creation,
25,openai-whisper,ch:openai-whisper,clawhub,steipete,,openai-whisper,https://clawhub.ai/steipete/skills/openai-whisper,,openclaw skills install @steipete/openai-whisper,upstream,Local speech-to-text with the Whisper CLI (no API key).,使用 Whisper CLI 进行本地语音转文字（无需 API 密钥）,clawhub,,88618,110372,0.958,design-media,
26,azure-diagnostics,ss:microsoft/azure-skills/azure-diagnostics,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-diagnostics,https://github.com/microsoft/azure-skills,npx skills add https://github.com/microsoft/azure-skills --skill azure-diagnostics,single,,,skills.sh,601181,,,0.958,it-ops-security,
27,azure-prepare,ss:microsoft/azure-skills/azure-prepare,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-prepare,https://github.com/microsoft/azure-skills,npx skills add https://github.com/microsoft/azure-skills --skill azure-prepare,single,,,skills.sh,600759,,,0.957,it-ops-security,
28,azure-ai,ss:microsoft/azure-skills/azure-ai,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-ai,https://github.com/microsoft/azure-skills,npx skills add https://github.com/microsoft/azure-skills --skill azure-ai,single,,,skills.sh,600524,,,0.956,it-ops-security,
29,azure-deploy,ss:microsoft/azure-skills/azure-deploy,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-deploy,https://github.com/microsoft/azure-skills,npx skills add https://github.com/microsoft/azure-skills --skill azure-deploy,single,,,skills.sh,600424,,,0.956,it-ops-security,
30,azure-validate,ss:microsoft/azure-skills/azure-validate,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-validate,https://github.com/microsoft/azure-skills,npx skills add https://github.com/microsoft/azure-skills --skill azure-validate,single,,,skills.sh,599865,,,0.955,it-ops-security,
31,azure-storage,ss:microsoft/azure-skills/azure-storage,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-storage,https://github.com/microsoft/azure-skills,npx skills add https://github.com/microsoft/azure-skills --skill azure-storage,single,,,skills.sh,599328,,,0.954,it-ops-security,
32,sonoscli,ch:sonoscli,clawhub,steipete,,sonoscli,https://clawhub.ai/steipete/skills/sonoscli,,openclaw skills install @steipete/sonoscli,upstream,Control Sonos speakers (discover/status/play/volume/group).,控制Sonos音箱（发现/状态/播放/音量/分组）,clawhub,,89521,96785,0.954,life-service,
33,entra-app-registration,ss:microsoft/azure-skills/entra-app-registration,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/entra-app-registration,https://github.com/microsoft/azure-skills,npx skills add https://github.com/microsoft/azure-skills --skill entra-app-registration,single,,,skills.sh,599073,,,0.953,it-ops-security,
34,azure-compliance,ss:microsoft/azure-skills/azure-compliance,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-compliance,https://github.com/microsoft/azure-skills,npx skills add https://github.com/microsoft/azure-skills --skill azure-compliance,single,,,skills.sh,598893,,,0.953,it-ops-security,
35,appinsights-instrumentation,ss:microsoft/azure-skills/appinsights-instrumentation,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/appinsights-instrumentation,https://github.com/microsoft/azure-skills,npx skills add https://github.com/microsoft/azure-skills --skill appinsights-instrumentation,single,,,skills.sh,598810,,,0.952,it-ops-security,
36,azure-resource-lookup,ss:microsoft/azure-skills/azure-resource-lookup,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-resource-lookup,https://github.com/microsoft/azure-skills,npx skills add https://github.com/microsoft/azure-skills --skill azure-resource-lookup,single,,,skills.sh,598737,,,0.951,it-ops-security,
37,cloudbase,sh:cloudbase,skillhub-cn,腾讯科技（深圳）有限公司,,,,,,single,腾讯云 CloudBase 是面向 AI Coding 的后端一体化平台，内置数据库、存储、身份认证、云函数与云托管等服务，支持快速构建小程序、Web、移动 App、管理后台与 AI 应用。,腾讯云 CloudBase 是面向 AI Coding 的后端一体化平台，内置数据库、存储、身份认证、云函数与云托管等服务，支持快速构建小程序、Web、移动 App、管理后台与 AI 应用。,skillhub,,,134508,0.95,it-ops-security,
38,azure-resource-visualizer,ss:microsoft/azure-skills/azure-resource-visualizer,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-resource-visualizer,https://github.com/microsoft/azure-skills,npx skills add https://github.com/microsoft/azure-skills --skill azure-resource-visualizer,single,,,skills.sh,598732,,,0.95,it-ops-security,
39,azure-aigateway,ss:microsoft/azure-skills/azure-aigateway,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-aigateway,https://github.com/microsoft/azure-skills,npx skills add https://github.com/microsoft/azure-skills --skill azure-aigateway,single,,,skills.sh,598477,,,0.95,it-ops-security,
40,lingyi-content-quality-check,sh:lingyi-content-quality-check,skillhub-cn,零一裂变（深圳）科技有限公司,,,,,,single,【零一数科·出品】：爆款内容预检。发前先测会不会违规、能不能爆、人群买不买——把发布从赌运气变成心里有底。视频号/公众号文案一键过三关：① 敏感词+广告法违禁词合规检测，命中词直接给替换建议；② 模拟目标人群真实观看反应与评论区原声；③ 爆款概率预测，逐维度打分说清依据。合规要准、爆款看依据，发出去前帮你把最后一道关。触发词：内容质检、敏感词检测、广告法检测、违禁词扫描、发布前审核、爆款预测、人群,【零一数科·出品】：爆款内容预检。发前先测会不会违规、能不能爆、人群买不买——把发布从赌运气变成心里有底。视频号/公众号文案一键过三关：① 敏感词+广告法违禁词合规检测，命中词直接给替换建议；② 模拟目标人群真实观看反应与评论区原声；③ 爆款概率预测，逐维度打分说清依据。合规要准、爆款看依据，发出去前帮你把最后一道关。触发词：内容质检、敏感词检测、广告法检测、违禁词扫描、发布前审核、爆款预测、人群,skillhub,,,132751,0.949,content-creation,
41,azure-kusto,ss:microsoft/azure-skills/azure-kusto,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-kusto,https://github.com/microsoft/azure-skills,npx skills add https://github.com/microsoft/azure-skills --skill azure-kusto,single,,,skills.sh,598399,,,0.949,data-analysis,
42,azure-messaging,ss:microsoft/azure-skills/azure-messaging,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-messaging,https://github.com/microsoft/azure-skills,npx skills add https://github.com/microsoft/azure-skills --skill azure-messaging,single,,,skills.sh,588108,,,0.948,it-ops-security,
43,agently-mail,sh:agently-mail,skillhub-cn,腾讯科技（深圳）有限公司,,,,,,single,Agently Mail 是 QQ 邮箱团队为 Agent 打造的专属邮箱服务，与个人邮箱隔离，原生适配 Agent，助力你安全、高效地使用 Agent 收发邮件。 Agently Mail 支持微信登录授权、读取邮件、搜索邮件、发送邮件、回复、转发、移动到已删除、上传和下载附件。 Agently Mail 官网 https://agent.qq.com,Agently Mail 是 QQ 邮箱团队为 Agent 打造的专属邮箱服务，与个人邮箱隔离，原生适配 Agent，助力你安全、高效地使用 Agent 收发邮件。 Agently Mail 支持微信登录授权、读取邮件、搜索邮件、发送邮件、回复、转发、移动到已删除、上传和下载附件。 Agently Mail 官网 https://agent.qq.com,skillhub,,,131631,0.946,ai-agent,
44,azure-compute,ss:microsoft/azure-skills/azure-compute,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-compute,https://github.com/microsoft/azure-skills,npx skills add https://github.com/microsoft/azure-skills --skill azure-compute,single,,,skills.sh,542059,,,0.944,it-ops-security,
45,gongwen-writting-2,sh:gongwen-writting-2,skillhub-cn,四川省熵衍震乾信息技术咨询服务有限公司,,,,,,single,体制内资深办公室主任+管理学博士，自学编程开发的智能公文写作Skill，让所有办公室同仁少掉头发、少加无用的班，材料一稿过关，省下的时间留给自己、享受生活！————————我们能给你带来的核心价值：1、颠覆传统写作：逻辑建模38类公文全链条，特有模板化引导问答模式，分分钟省心生成高质量大稿。--------2、替你“向上管理”：独有审稿人画像机制，文稿一键结构性修改，精准匹配审稿人画像，过稿率提升,体制内资深办公室主任+管理学博士，自学编程开发的智能公文写作Skill，让所有办公室同仁少掉头发、少加无用的班，材料一稿过关，省下的时间留给自己、享受生活！————————我们能给你带来的核心价值：1、颠覆传统写作：逻辑建模38类公文全链条，特有模板化引导问答模式，分分钟省心生成高质量大稿。--------2、替你“向上管理”：独有审稿人画像机制，文稿一键结构性修改，精准匹配审稿人画像，过稿率提升,skillhub,,,126781,0.943,office-efficiency,
46,remotion-best-practices,ss:remotion-dev/skills/remotion-best-practices,skills.sh,remotion-dev,remotion-dev/skills,,https://www.skills.sh/remotion-dev/skills/remotion-best-practices,https://github.com/remotion-dev/skills,npx skills add https://github.com/remotion-dev/skills --skill remotion-best-practices,single,,,skills.sh,541160,,,0.943,dev-programming,
47,mcporter,ch:mcporter,clawhub,steipete,,mcporter,https://clawhub.ai/steipete/skills/mcporter,,openclaw skills install @steipete/mcporter,upstream,"Use the mcporter CLI to list, configure, auth, and call MCP servers/tools directly (HTTP or stdio), including ad-hoc servers, config edits, and CLI/type generation.",使用 mcporter CLI 直接列出、配置、认证及调用 MCP 服务器/工具（支持 HTTP 或 stdio），涵盖临时服务器、配置编辑及 CLI/类型生成功能。,clawhub,,70341,78682,0.94,dev-programming,
48,azure-cloud-migrate,ss:microsoft/azure-skills/azure-cloud-migrate,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-cloud-migrate,https://github.com/microsoft/azure-skills,npx skills add https://github.com/microsoft/azure-skills --skill azure-cloud-migrate,single,,,skills.sh,532078,,,0.939,it-ops-security,
49,brave-search,ch:brave-search,clawhub,steipete,,brave-search,https://clawhub.ai/steipete/skills/brave-search,,openclaw skills install @steipete/brave-search,upstream,"Web search and content extraction via Brave Search API. Use for searching documentation, facts, or any web content. Lightweight, no browser required.",通过 Brave Search API 进行网页搜索与内容提取。适用于搜索文档、事实或任何网页内容。轻量级，无需浏览器。,clawhub,,61746,76883,0.937,knowledge-management,
50,ai-podcast-voiceover,sh:ai-podcast-voiceover,skillhub-cn,乐萱同行科技（深圳）有限公司,,,,,,single,把文章、公众号文章、笔记或定稿，通过AI播客配音和文字转语音，制作成自然流畅的单人播客口播与MP3单集音频。先把书面内容整理成适合聆听的播客脚本，明确人名、术语和数字的读法，再选择主播音色，调整语速、停顿和表达，形成可持续复用的节目声音。适合文字转播客、文章转播客、AI播客生成、AI播客音频生成、公众号文章转音频、知识解说、新闻评论和个人栏目。,把文章、公众号文章、笔记或定稿，通过AI播客配音和文字转语音，制作成自然流畅的单人播客口播与MP3单集音频。先把书面内容整理成适合聆听的播客脚本，明确人名、术语和数字的读法，再选择主播音色，调整语速、停顿和表达，形成可持续复用的节目声音。适合文字转播客、文章转播客、AI播客生成、AI播客音频生成、公众号文章转音频、知识解说、新闻评论和个人栏目。,skillhub,,,118306,0.937,design-media,
51,markdown-converter,ch:markdown-converter,clawhub,steipete,,markdown-converter,https://clawhub.ai/steipete/skills/markdown-converter,,openclaw skills install @steipete/markdown-converter,upstream,"Convert documents and files to Markdown using markitdown. Use when converting PDF, Word (.docx), PowerPoint (.pptx), Excel (.xlsx, .xls), HTML, CSV, JSON, XML, images (with EXIF/OCR), audio (with tran","{""answer"":""使用 markitdown 将文档和文件转换为 Markdown。用于将 PDF、Word (.docx)、PowerPoint (.pptx)、Excel (.xlsx, .xls)、HTML、CSV、JSON、XML、图片（含 EXIF/OCR）、音频（含转录）、ZIP 压缩包、YouTube 链接或 EPub 转换为 Markdown 格式，以进行 LLM 处理或文本分",clawhub,,49142,91547,0.936,office-efficiency,
52,azure-rbac,ss:microsoft/azure-skills/azure-rbac,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-rbac,https://github.com/microsoft/azure-skills,npx skills add https://github.com/microsoft/azure-skills --skill azure-rbac,single,,,skills.sh,492219,,,0.935,it-ops-security,
53,azure-quotas,ss:microsoft/azure-skills/azure-quotas,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-quotas,https://github.com/microsoft/azure-skills,npx skills add https://github.com/microsoft/azure-skills --skill azure-quotas,single,,,skills.sh,468151,,,0.935,it-ops-security,
54,admapix,sh:admapix,skillhub-cn,成都智创未来教育管理合伙企业（有限合伙）,,,,,,single,"AdMapix广告原始数据层,广告创意/应用/排名/下载收入","AdMapix广告原始数据层,广告创意/应用/排名/下载收入",skillhub,,,111485,0.934,data-analysis,
55,azure-upgrade,ss:microsoft/azure-skills/azure-upgrade,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-upgrade,https://github.com/microsoft/azure-skills,npx skills add https://github.com/microsoft/azure-skills --skill azure-upgrade,single,,,skills.sh,460259,,,0.934,it-ops-security,
56,lingyi-wx-video-decomposer-exp,sh:lingyi-wx-video-decomposer-exp,skillhub-cn,零一裂变（深圳）科技有限公司,,,,,,single,【零一数科·出品】视频号爆款短视频拆解（免费版：需本地上传视频）。免费看视频拆爆款，把本地视频按视频号带货/流量逻辑拆成结构分段、脚本类型、爆款归因和六维评分报告，照着学照着抄。素材全程本地提取，不传视频不传帧，免登录免 Key；仅支持本地视频上传，暂不支持视频号链接。,【零一数科·出品】视频号爆款短视频拆解（免费版：需本地上传视频）。免费看视频拆爆款，把本地视频按视频号带货/流量逻辑拆成结构分段、脚本类型、爆款归因和六维评分报告，照着学照着抄。素材全程本地提取，不传视频不传帧，免登录免 Key；仅支持本地视频上传，暂不支持视频号链接。,skillhub,,,105570,0.928,design-media,
57,video-frames,ch:video-frames,clawhub,steipete,,video-frames,https://clawhub.ai/steipete/skills/video-frames,,openclaw skills install @steipete/video-frames,upstream,Extract frames or short clips from videos using ffmpeg.,使用 ffmpeg 从视频中提取帧或短片。,clawhub,,58444,66430,0.928,design-media,
58,beatra-ai-video-studio,sh:beatra-ai-video-studio,skillhub-cn,乐萱同行科技（深圳）有限公司,,,,,,single,从一段镜头描述、一张图片、首尾帧、参考素材或已有视频出发，规划并制作短视频。Beatra AI视频工作室支持文生视频、图生视频、参考生视频、首尾帧视频、AI视频编辑和AI视频延长，覆盖产品视频、广告创意、社交短视频、AI空镜素材、转场、揭示和电影感概念镜头。交付后检查动作、主体稳定性、运镜、连续性与发布场景；如果请求或结果包含音频，也一并检查音频，再决定最小有效的修改、延长或重新生成。,从一段镜头描述、一张图片、首尾帧、参考素材或已有视频出发，规划并制作短视频。Beatra AI视频工作室支持文生视频、图生视频、参考生视频、首尾帧视频、AI视频编辑和AI视频延长，覆盖产品视频、广告创意、社交短视频、AI空镜素材、转场、揭示和电影感概念镜头。交付后检查动作、主体稳定性、运镜、连续性与发布场景；如果请求或结果包含音频，也一并检查音频，再决定最小有效的修改、延长或重新生成。,skillhub,,,97821,0.922,design-media,
