rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,verified_by,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,pop_score
23,multi-search-engine,skillhub-cn,成都智创未来教育管理合伙企业（有限合伙）,,,single,"多搜索引擎集成,16引擎(7国内+9全球)。Multi search engine integration with 16 engines (7 CN + 9 Global)。核心能力: -","多搜索引擎集成,16引擎(7国内+9全球)。Multi search engine integration with 16 engines (7 CN + 9 Global)。核心能力: -",skillhub,,,120119,0.967
24,azure-storage,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,541139,,,0.967
25,entra-app-registration,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,540873,,,0.966
26,appinsights-instrumentation,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,540629,,,0.966
27,azure-resource-lookup,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,540549,,,0.965
28,azure-compliance,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,540505,,,0.964
29,azure-resource-visualizer,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,540486,,,0.964
30,azure-aigateway,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,540339,,,0.963
31,azure-kusto,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,540264,,,0.962
32,azure-messaging,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,529995,,,0.961
33,remotion-best-practices,skills.sh,remotion-dev,remotion-dev/skills,,single,,,skills.sh,493397,,,0.958
34,azure-rbac,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,484954,,,0.957
35,mcporter,clawhub,steipete,,mcporter,upstream,"Use the mcporter CLI to list, configure, auth, and call MCP servers/tools directly (HTTP or stdio), including ad-hoc servers, config edits, and CLI/type generation.",使用 mcporter CLI 直接列出、配置、认证及调用 MCP 服务器/工具（支持 HTTP 或 stdio），涵盖临时服务器、配置编辑及 CLI/类型生成功能。,clawhub,,69299,77097,0.956
36,azure-compute,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,484048,,,0.956
37,azure-cloud-migrate,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,473983,,,0.955
38,brave-search,clawhub,steipete,,brave-search,upstream,"Web search and content extraction via Brave Search API. Use for searching documentation, facts, or any web content. Lightweight, no browser required.",通过 Brave Search API 进行网页搜索与内容提取。适用于搜索文档、事实或任何网页内容。轻量级，无需浏览器。,clawhub,,61259,75351,0.954
39,agently-mail,skillhub-cn,腾讯科技（深圳）有限公司,,,single,Agently Mail 是 QQ 邮箱团队为 Agent 打造的专属邮箱服务，与个人邮箱隔离，原生适配 Agent，助力你安全、高效地使用 Agent 收发邮件。 Agently Mail 支持微信登录授权、读取邮件、搜索邮件、发送邮件、回复、转发、移动到已删除、上传和下载附件。 Agently Mail 官网 https://agent.qq.com,Agently Mail 是 QQ 邮箱团队为 Agent 打造的专属邮箱服务，与个人邮箱隔离，原生适配 Agent，助力你安全、高效地使用 Agent 收发邮件。 Agently Mail 支持微信登录授权、读取邮件、搜索邮件、发送邮件、回复、转发、移动到已删除、上传和下载附件。 Agently Mail 官网 https://agent.qq.com,skillhub,,,87626,0.951
40,azure-hosted-copilot-sdk,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,437161,,,0.949
41,video-frames,clawhub,steipete,,video-frames,upstream,Extract frames or short clips from videos using ffmpeg.,使用 ffmpeg 从视频中提取帧或短片。,clawhub,,57057,64061,0.947
42,lingyi-wx-video-decomposer-plus,skillhub-cn,零一裂变（深圳）科技有限公司,,,single,【零一数科·出品】视频号爆款短视频拆解（付费版：全能）。一键拆解爆款，把一条视频号视频拆成结构分段、爆款归因、六维评分和可借鉴策略，照着学照着抄。支持视频号分享链接和本地视频，付费全能版远端分析，1–5 分钟出 Markdown 报告。,【零一数科·出品】视频号爆款短视频拆解（付费版：全能）。一键拆解爆款，把一条视频号视频拆成结构分段、爆款归因、六维评分和可借鉴策略，照着学照着抄。支持视频号分享链接和本地视频，付费全能版远端分析，1–5 分钟出 Markdown 报告。,skillhub,,,79333,0.944
43,markdown-converter,clawhub,steipete,,markdown-converter,upstream,"Convert documents and files to Markdown using markitdown. Use when converting PDF, Word (.docx), PowerPoint (.pptx), Excel (.xlsx, .xls), HTML, CSV, JSON, XML, images (with EXIF/OCR), audio (with tran","{""answer"":""使用 markitdown 将文档和文件转换为 Markdown。用于将 PDF、Word (.docx)、PowerPoint (.pptx)、Excel (.xlsx, .xls)、HTML、CSV、JSON、XML、图片（含 EXIF/OCR）、音频（含转录）、ZIP 压缩包、YouTube 链接或 EPub 转换为 Markdown 格式，以进行 LLM 处理或文本分",clawhub,,48142,68010,0.944
44,slack,clawhub,steipete,,slack,upstream,"Use when you need to control Slack from Clawdbot via the slack tool, including reacting to messages or pinning/unpinning items in Slack channels or DMs.",当需要通过 slack 工具从 Clawdbot 控制 Slack 时使用，包括在频道或私信中回复消息或置顶/取消置顶项目。,clawhub,,53349,58763,0.942
45,lingyi-wx-viral-script-generator,skillhub-cn,零一裂变（深圳）科技有限公司,,,single,【零一数科·出品】视频号爆款文案生成（体验版）。免费免登录出脚本，给创作目的、行业、受众、选题就按爆款结构（Hook-中段-CTA、节奏标签）产出口播脚本，信息不全也能按爆款潜质兜底。本地运行、无需 Key，零成本上手。,【零一数科·出品】视频号爆款文案生成（体验版）。免费免登录出脚本，给创作目的、行业、受众、选题就按爆款结构（Hook-中段-CTA、节奏标签）产出口播脚本，信息不全也能按爆款潜质兜底。本地运行、无需 Key，零成本上手。,skillhub,,,66395,0.931
46,azure-quotas,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,410295,,,0.931
47,cloudbase,skillhub-cn,腾讯科技（深圳）有限公司,,,single,腾讯云 CloudBase 是面向 AI Coding 的后端一体化平台，内置数据库、存储、身份认证、云函数与云托管等服务，支持快速构建小程序、Web、移动 App、管理后台与 AI 应用。,腾讯云 CloudBase 是面向 AI Coding 的后端一体化平台，内置数据库、存储、身份认证、云函数与云托管等服务，支持快速构建小程序、Web、移动 App、管理后台与 AI 应用。,skillhub,,,63956,0.928
48,blogwatcher,clawhub,steipete,,blogwatcher,upstream,Monitor blogs and RSS/Atom feeds for updates using the blogwatcher CLI.,使用 blogwatcher CLI 监控博客和 RSS/Atom 订阅源的更新。,clawhub,,44233,52747,0.928
49,trello,clawhub,steipete,,trello,upstream,"Manage Trello boards, lists, and cards via the Trello REST API.",使用 Trello REST API 管理看板、列表和卡片,clawhub,,43134,51018,0.925
50,gemini,clawhub,steipete,,gemini,upstream,"Gemini CLI for one-shot Q&A, summaries, and generation.",Gemini CLI：一键问答、摘要与生成,clawhub,,36887,61959,0.923
51,azure-upgrade,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,402448,,,0.922
52,lingyi-wx-video-decomposer-exp,skillhub-cn,零一裂变（深圳）科技有限公司,,,single,【零一数科·出品】视频号爆款短视频拆解（免费版：需本地上传视频）。免费看视频拆爆款，把本地视频按视频号带货/流量逻辑拆成结构分段、脚本类型、爆款归因和六维评分报告，照着学照着抄。素材全程本地提取，不传视频不传帧，免登录免 Key；仅支持本地视频上传，暂不支持视频号链接。,【零一数科·出品】视频号爆款短视频拆解（免费版：需本地上传视频）。免费看视频拆爆款，把本地视频按视频号带货/流量逻辑拆成结构分段、脚本类型、爆款归因和六维评分报告，照着学照着抄。素材全程本地提取，不传视频不传帧，免登录免 Key；仅支持本地视频上传，暂不支持视频号链接。,skillhub,,,58195,0.918
53,azure-enterprise-infra-planner,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,376591,,,0.916
54,discord,clawhub,steipete,,discord,upstream,"Use when you need to control Discord from Clawdbot via the discord tool: send messages, react, post or upload stickers, upload emojis, run polls, manage threads/pins/search, fetch permissions or membe",用于通过 Clawdbot 的 discord 工具控制 Discord，包括发送消息、反应、发布或上传贴纸、上传表情符号、创建投票、管理话题/置顶/搜索、获取权限/成员/角色/频道信息，或在私聊/频道中执行管理操作。,clawhub,,39465,47774,0.915
55,azure-kubernetes,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,369772,,,0.914
56,model-usage,clawhub,steipete,,model-usage,upstream,"Use CodexBar CLI local cost usage to summarize per-model usage for Codex or Claude, including the current (most recent) model or a full model breakdown. Trigger when asked for model-level usage/cost d",使用 CodexBar CLI 本地成本功能汇总 Codex 或 Claude 的各模型用量，支持当前模型或全模型明细。当查询 CodexBar 模型级用量/成本数据或需要脚本化汇总时触发。,clawhub,,38890,47696,0.914
57,supabase-postgres-best-practices,skills.sh,supabase,supabase/agent-skills,,single,,,skills.sh,367291,,,0.913
58,clawdhub,clawhub,steipete,,clawdhub,upstream,"Use the ClawdHub CLI to search, install, update, and publish agent skills from clawdhub.com. Use when you need to fetch new skills on the fly, sync installed skills to latest or a specific version, or","{""answer"":""使用 ClawdHub CLI 从 clawdhub.com 搜索、安装、更新及发布智能体技能。适用于即时获取新技能、同步至最新或指定版本，或通过 npm 安装的 CLI 发布技能文件夹。""}",clawhub,,37720,46397,0.91
59,skill-creator,skills.sh,anthropics,anthropics/skills,,single,,,skills.sh,361427,,,0.91
60,apple-notes,clawhub,steipete,,apple-notes,upstream,"Manage Apple Notes via the `memo` CLI on macOS (create, view, edit, delete, search, move, and export notes). Use when a user asks Clawdbot to add a note, list notes, search notes, or manage note folde",在 macOS 上通过 `memo` CLI 管理 Apple Notes（创建、查看、编辑、删除、搜索、移动和导出备忘录）。当用户请求添加、列出、搜索备忘录或管理文件夹时使用。,clawhub,,37246,37722,0.903
61,azure-cost,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,345012,,,0.894
62,sbkj-ztb,skillhub-cn,世舶科技（武汉）有限公司,,,single,世舶科技提供全网招标、中标、采购与商机数据查询分析服务，覆盖招标公告、中标公告、政府采购、工程建设、企业采购、合同公告、变更公告、废标流标、拟在建项目、临期项目、即将到期项目等招投标信息场景。用户可通过世舶科技快速搜索标讯、订阅项目、挖掘潜在商机、预测采购需求、分析历史中标记录，并支持按地区、行业、采购单位、中标单位、标的物、项目金额、发布时间、开标时间等维度进行数据筛选与统计分析。 世舶科技适用,世舶科技提供全网招标、中标、采购与商机数据查询分析服务，覆盖招标公告、中标公告、政府采购、工程建设、企业采购、合同公告、变更公告、废标流标、拟在建项目、临期项目、即将到期项目等招投标信息场景。用户可通过世舶科技快速搜索标讯、订阅项目、挖掘潜在商机、预测采购需求、分析历史中标记录，并支持按地区、行业、采购单位、中标单位、标的物、项目金额、发布时间、开标时间等维度进行数据筛选与统计分析。 世舶科技适用,skillhub,,,48689,0.894
63,qmd,clawhub,steipete,,qmd,upstream,Local search/indexing CLI (BM25 + vectors + rerank) with MCP mode.,本地搜索/索引命令行工具（BM25 + 向量 + 重新排序），支持 MCP 模式,clawhub,,35095,34520,0.889
64,lingyi-content-quality-check,skillhub-cn,零一裂变（深圳）科技有限公司,,,single,【零一数科·出品】：爆款内容预检。发前先测会不会违规、能不能爆、人群买不买——把发布从赌运气变成心里有底。视频号/公众号文案一键过三关：① 敏感词+广告法违禁词合规检测，命中词直接给替换建议；② 模拟目标人群真实观看反应与评论区原声；③ 爆款概率预测，逐维度打分说清依据。合规要准、爆款看依据，发出去前帮你把最后一道关。触发词：内容质检、敏感词检测、广告法检测、违禁词扫描、发布前审核、爆款预测、人群,【零一数科·出品】：爆款内容预检。发前先测会不会违规、能不能爆、人群买不买——把发布从赌运气变成心里有底。视频号/公众号文案一键过三关：① 敏感词+广告法违禁词合规检测，命中词直接给替换建议；② 模拟目标人群真实观看反应与评论区原声；③ 爆款概率预测，逐维度打分说清依据。合规要准、爆款看依据，发出去前帮你把最后一道关。触发词：内容质检、敏感词检测、广告法检测、违禁词扫描、发布前审核、爆款预测、人群,skillhub,,,45491,0.884
65,1password,clawhub,steipete,,1password,upstream,"Set up and use 1Password CLI (op). Use when installing the CLI, enabling desktop app integration, signing in (single or multi-account), or reading/injecting/running secrets via op.",设置和使用 1Password CLI (op)。适用于：安装 CLI、启用桌面应用集成、登录（单/多账户）、通过 op 读取/注入/运行密钥。,clawhub,,33743,33071,0.883
66,sbkj,skillhub-cn,世舶科技（武汉）有限公司,,,single,世舶科技提供全网招标、中标、采购与商机数据查询分析服务，覆盖招标公告、中标公告、政府采购、工程建设、企业采购、合同公告、变更公告、废标流标、拟在建项目、临期项目、即将到期项目等招投标信息场景。用户可通过世舶科技快速搜索标讯、订阅项目、挖掘潜在商机、预测采购需求、分析历史中标记录，并支持按地区、行业、采购单位、中标单位、标的物、项目金额、发布时间、开标时间等维度进行数据筛选与统计分析。 世舶科技适用,世舶科技提供全网招标、中标、采购与商机数据查询分析服务，覆盖招标公告、中标公告、政府采购、工程建设、企业采购、合同公告、变更公告、废标流标、拟在建项目、临期项目、即将到期项目等招投标信息场景。用户可通过世舶科技快速搜索标讯、订阅项目、挖掘潜在商机、预测采购需求、分析历史中标记录，并支持按地区、行业、采购单位、中标单位、标的物、项目金额、发布时间、开标时间等维度进行数据筛选与统计分析。 世舶科技适用,skillhub,,,43938,0.881
67,vercel-composition-patterns,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,skills.sh,303548,,,0.877
68,airunway-aks-setup,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,289056,,,0.874
69,tmux,clawhub,steipete,,tmux,upstream,Remote-control tmux sessions for interactive CLIs by sending keystrokes and scraping pane output.,通过发送按键并抓取面板输出，远程控制 tmux 会话，实现交互式命令行。,clawhub,,31869,31312,0.873
70,lingyi-wx-video-script-creator-plus,skillhub-cn,零一裂变（深圳）科技有限公司,,,single,【零一数科·出品】视频号挂车爆单短视频脚本生成（付费版）。一条链接二创脚本，丢进爆款视频号链接即以此骨架改写成你的挂车脚本，或按方向/目的/商品原创多条口播脚本（含分段表、口播全文、六维质检评分），付费版远端生成。,【零一数科·出品】视频号挂车爆单短视频脚本生成（付费版）。一条链接二创脚本，丢进爆款视频号链接即以此骨架改写成你的挂车脚本，或按方向/目的/商品原创多条口播脚本（含分段表、口播全文、六维质检评分），付费版远端生成。,skillhub,,,41241,0.873
71,sbkj-official-en,skillhub-cn,世舶科技（武汉）有限公司,,,single,招投标行业情报分析是世舶科技旗下保标招标网提供的招投标数据分析能力，支持按行业、地区、时间、项目分类、采购分类、项目金额等维度，对招标公告、中标公告、合同公告、政府采购、工程建设项目和企业采购数据进行统计分析，帮助用户快速了解招投标市场规模、采购趋势、区域分布、行业热度、客户结构和金额变化。 适用于行业研究、区域市场分析、招投标趋势分析、市场容量评估、客户结构分析、采购需求洞察、竞争格局判断和企业,招投标行业情报分析是世舶科技旗下保标招标网提供的招投标数据分析能力，支持按行业、地区、时间、项目分类、采购分类、项目金额等维度，对招标公告、中标公告、合同公告、政府采购、工程建设项目和企业采购数据进行统计分析，帮助用户快速了解招投标市场规模、采购趋势、区域分布、行业热度、客户结构和金额变化。 适用于行业研究、区域市场分析、招投标趋势分析、市场容量评估、客户结构分析、采购需求洞察、竞争格局判断和企业,skillhub,,,38572,0.871
72,peekaboo,clawhub,steipete,,peekaboo,upstream,Capture and automate macOS UI with the Peekaboo CLI.,使用 Peekaboo CLI 捕获并自动化 macOS 界面。,clawhub,,31334,31352,0.87
73,entra-agent-id,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,263211,,,0.868
74,lingyi-copy-de-ai-human-eval,skillhub-cn,零一裂变（深圳）科技有限公司,,,single,【零一数科·出品】文案去AI味+真人点评（付费版）。把小红书/视频号/公众号/抖音文案改写得像真人写、消除 AI 痕迹降 AI 率，并模拟真实人群画像的读者逐段评估「哪里还像 AI、哪里不像人写」，给出人味打分与残留痕迹定位。别人只改不验，本品改完让真人评估把关。触发词：文案去AI味、社媒文案去AI、去AI味、降AI率、AI去痕、过AI检测、人味改写、真人评估、读者验收、真人试读。,【零一数科·出品】文案去AI味+真人点评（付费版）。把小红书/视频号/公众号/抖音文案改写得像真人写、消除 AI 痕迹降 AI 率，并模拟真实人群画像的读者逐段评估「哪里还像 AI、哪里不像人写」，给出人味打分与残留痕迹定位。别人只改不验，本品改完让真人评估把关。触发词：文案去AI味、社媒文案去AI、去AI味、降AI率、AI去痕、过AI检测、人味改写、真人评估、读者验收、真人试读。,skillhub,,,37418,0.866
75,apple-reminders,clawhub,steipete,,apple-reminders,upstream,"Manage Apple Reminders via the `remindctl` CLI on macOS (list, add, edit, complete, delete). Supports lists, date filters, and JSON/plain output.",通过 macOS 上的 `remindctl` CLI 管理 Apple 提醒事项（列出、添加、编辑、完成、删除），支持列表、日期筛选及 JSON/纯文本输出。,clawhub,,30951,30357,0.864
76,sbkj-official-sales,skillhub-cn,世舶科技（武汉）有限公司,,,single,销售线索发现与采购客户挖掘是世舶科技旗下保标招标网提供的招投标获客能力，支持从招标公告、采购意向、中标公告、合同公告、企业数据和历史采购记录中发现潜在采购客户，补充项目主体、采购单位、联系人、项目地区、采购内容、预算金额、中标供应商和跟进理由，帮助销售团队快速形成可跟进的销售线索清单。 适用于销售获客、采购线索挖掘、目标客户寻找、区域商机筛选、项目型销售拓客、渠道拓展和重点客户开发。用户可通过保标,销售线索发现与采购客户挖掘是世舶科技旗下保标招标网提供的招投标获客能力，支持从招标公告、采购意向、中标公告、合同公告、企业数据和历史采购记录中发现潜在采购客户，补充项目主体、采购单位、联系人、项目地区、采购内容、预算金额、中标供应商和跟进理由，帮助销售团队快速形成可跟进的销售线索清单。 适用于销售获客、采购线索挖掘、目标客户寻找、区域商机筛选、项目型销售拓客、渠道拓展和重点客户开发。用户可通过保标,skillhub,,,36441,0.861
77,supabase,skills.sh,supabase,supabase/agent-skills,,single,,,skills.sh,236645,,,0.856
78,prisma-database-setup,skills.sh,prisma,prisma/skills,,single,,,skills.sh,233852,,,0.853
79,prisma-client-api,skills.sh,prisma,prisma/skills,,single,,,skills.sh,233254,,,0.852
80,prisma-cli,skills.sh,prisma,prisma/skills,,single,,,skills.sh,231146,,,0.852
81,openai-image-gen,clawhub,steipete,,openai-image-gen,upstream,Batch-generate images via OpenAI Images API. Random prompt sampler + `index.html` gallery.,通过 OpenAI Images API 批量生成图像。支持随机提示词采样，并提供 index.html 图库展示。,clawhub,,25928,30471,0.85
82,prisma-postgres,skills.sh,prisma,prisma/skills,,single,,,skills.sh,227351,,,0.848
83,prisma-driver-adapter-implementation,skills.sh,prisma,prisma/skills,,single,,,skills.sh,222969,,,0.844
84,sag,clawhub,steipete,,sag,upstream,ElevenLabs text-to-speech with mac-style say UX.,具有 Mac 风格 say 交互的 ElevenLabs 语音合成。,clawhub,,28556,28097,0.843
85,prisma-upgrade-v7,skills.sh,prisma,prisma/skills,,single,,,skills.sh,222836,,,0.843
86,azure-reliability,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,222426,,,0.843
87,prisma-postgres-setup,skills.sh,prisma,prisma/skills,,single,,,skills.sh,221766,,,0.842
88,prisma-compute,skills.sh,prisma,prisma/skills,,single,,,skills.sh,218222,,,0.841
89,prisma-mongodb-upgrade,skills.sh,prisma,prisma/skills,,single,,,skills.sh,216968,,,0.84
90,azure-cost-optimization,skills.sh,microsoft,microsoft/azure-skills,,single,,,skills.sh,209231,,,0.839
91,pptx,skills.sh,anthropics,anthropics/skills,,single,,,skills.sh,207902,,,0.837
92,spotify-player,clawhub,steipete,,spotify-player,upstream,Terminal Spotify playback/search via spogo (preferred) or spotify_player.,通过 spogo（首选）或 spotify_player 在终端进行 Spotify播放/搜索。,clawhub,,27901,27565,0.836
93,openai-whisper-api,clawhub,steipete,,openai-whisper-api,upstream,Transcribe audio via OpenAI Audio Transcriptions API (Whisper).,使用 OpenAI 音频转录 API（Whisper）进行音频转录。,clawhub,,27414,27077,0.833
94,vercel-react-native-skills,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,skills.sh,194293,,,0.831
95,pdf,skills.sh,anthropics,anthropics/skills,,single,,,skills.sh,184213,,,0.822
96,docx,skills.sh,anthropics,anthropics/skills,,single,,,skills.sh,176764,,,0.821
97,lingyi-yunying-diaoyan-baogao,skillhub-cn,零一裂变（深圳）科技有限公司,,,single,【零一数科·出品】：社媒运营调研报告（付费版）。自动扒竞品社媒打法，一键出调研报告——你只给品牌和关键词，我就能去抖音/视频号采集真实视频素材，现造任务专属分析框架，生成含数据基础、打法拆解、合规话术、可执行建议的 Markdown 报告。适合做社媒运营调研、竞品对标、内容选题与爆款公式提炼。需要 python3 和技能目录 config.json 里的 LY_API_KEY。,【零一数科·出品】：社媒运营调研报告（付费版）。自动扒竞品社媒打法，一键出调研报告——你只给品牌和关键词，我就能去抖音/视频号采集真实视频素材，现造任务专属分析框架，生成含数据基础、打法拆解、合规话术、可执行建议的 Markdown 报告。适合做社媒运营调研、竞品对标、内容选题与爆款公式提炼。需要 python3 和技能目录 config.json 里的 LY_API_KEY。,skillhub,,,30787,0.818
98,xlsx,skills.sh,anthropics,anthropics/skills,,single,,,skills.sh,157608,,,0.814
99,goplaces,clawhub,steipete,,goplaces,upstream,"Query Google Places API (New) via the goplaces CLI for text search, place details, resolve, and reviews. Use for human-friendly place lookup or JSON output for scripts.",通过 goplaces CLI 调用 Google Places API（新版），支持文本搜索、地点详情、解析及评论。适用于人性化的地点查询或脚本 JSON 输出。,clawhub,,24389,24080,0.811
100,bid-proposal-compliance-assistant,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,标书合规审查助手。需配置世舶科技 API Key 使用。用于检查标书是否符合招标文件要求，重点关注资格、格式、响应、签章和时间要求。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机,标书合规审查助手。需配置世舶科技 API Key 使用。用于检查标书是否符合招标文件要求，重点关注资格、格式、响应、签章和时间要求。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机,skillhub,,,29636,0.808
