rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,wis,popularity,momentum,buzz,maintenance,trust,coverage,anomaly
37,improve-codebase-architecture,skills.sh,mattpocock,mattpocock/skills,,single,,,763997,,,62.2,0.997,0.975,0.46,,0.2,C,
38,tdd,skills.sh,mattpocock,mattpocock/skills,,single,,,738008,,,62,0.996,0.972,0.454,,0.2,C,
39,triage,skills.sh,mattpocock,mattpocock/skills,,single,,,638944,,,62,0.992,0.955,0.471,,0.2,C,
40,handoff,skills.sh,mattpocock,mattpocock/skills,,single,,,643083,,,61.9,0.993,0.957,0.461,,0.2,C,
41,prototype,skills.sh,mattpocock,mattpocock/skills,,single,,,627383,,,61.8,0.992,0.962,0.456,,0.2,C,
42,airunway-aks-setup,skills.sh,microsoft,microsoft/azure-skills,,single,,,285199,,,61.8,0.88,0.725,,,0.7,C,
43,azure-diagnostics,skills.sh,microsoft,microsoft/azure-skills,,single,,,538859,,,61.5,0.971,0.767,0.12,,0.7,C,
44,azure-prepare,skills.sh,microsoft,microsoft/azure-skills,,single,,,538291,,,61.5,0.97,0.765,0.12,,0.7,C,
45,vercel-composition-patterns,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,299463,,,61.5,0.882,0.703,,,0.7,C,
46,entra-agent-id,skills.sh,microsoft,microsoft/azure-skills,,single,,,259360,,,61.5,0.871,0.723,,,0.7,C,
47,azure-resource-visualizer,skills.sh,microsoft,microsoft/azure-skills,,single,,,536541,,,61.3,0.964,0.763,0.12,,0.7,C,
48,nano-banana-pro,clawhub,steipete,,nano-banana-pro,upstream,Generate/edit images with Nano Banana Pro (Gemini 3 Pro Image). Use for image create/modify requests incl. edits. Supports text-to-image + image-to-image; 1K/2K/4K; use --input-image.,使用 Nano Banana Pro (Gemini 3 Pro Image) 生成或编辑图像。支持文生图、图生图及 1K/2K/4K 分辨率，适用于图像创建、修改及编辑请求，使用 --input-image 指定输入图像。,,106268,129915,61.3,0.981,,0.456,0.282,0.7,B,
49,azure-deploy,skills.sh,microsoft,microsoft/azure-skills,,single,,,538272,,,61.2,0.969,0.752,0.12,,0.7,C,
50,azure-validate,skills.sh,microsoft,microsoft/azure-skills,,single,,,537776,,,61.2,0.968,0.747,0.12,,0.7,C,
51,azure-compliance,skills.sh,microsoft,microsoft/azure-skills,,single,,,536609,,,61.2,0.965,0.755,0.12,,0.7,C,
52,azure-resource-lookup,skills.sh,microsoft,microsoft/azure-skills,,single,,,536656,,,61.1,0.965,0.748,0.12,,0.7,C,
53,entra-app-registration,skills.sh,microsoft,microsoft/azure-skills,,single,,,536976,,,61,0.967,0.742,0.12,,0.7,C,
54,appinsights-instrumentation,skills.sh,microsoft,microsoft/azure-skills,,single,,,536739,,,61,0.966,0.743,0.12,,0.7,C,
55,supabase,skills.sh,supabase,supabase/agent-skills,,single,,,231173,,,61,0.858,0.718,,,0.7,C,
56,github,clawhub,steipete,,github,upstream,"Interact with GitHub using the `gh` CLI. Use `gh issue`, `gh pr`, `gh run`, and `gh api` for issues, PRs, CI runs, and advanced queries.",使用 `gh` CLI 与 GitHub 交互，通过 `gh issue`、`gh pr`、`gh run` 和 `gh api` 管理议题、PR、CI 运行及高级查询。,,196209,365490,61,0.995,,0.474,0.215,0.7,B,
57,azure-reliability,skills.sh,microsoft,microsoft/azure-skills,,single,,,218579,,,60.8,0.849,0.722,,,0.7,C,
58,brave-search,clawhub,steipete,,brave-search,upstream,"Web search and content extraction via Brave Search API. Use for searching documentation, facts, or any web content. Lightweight, no browser required.",通过 Brave Search API 进行网页搜索与内容提取。适用于搜索文档、事实或任何网页内容。轻量级，无需浏览器。,,61210,75286,60.2,0.956,,0.445,0.272,0.7,B,
59,neon-postgres,skills.sh,neondatabase,neondatabase/agent-skills,,single,,,103719,,,59.8,0.788,0.778,,,0.7,C,
60,python-appservice-deploy,skills.sh,microsoft,microsoft/azure-skills,,single,,,141961,,,59.7,0.814,0.72,,,0.7,C,
61,obsidian,clawhub,steipete,,obsidian,upstream,Work with Obsidian vaults (plain Markdown notes) and automate via obsidian-cli.,操作 Obsidian 仓库（纯 Markdown 笔记）并通过 obsidian-cli 自动化。,,107989,126395,59.3,0.98,,0.446,0.164,0.7,B,
62,weather,clawhub,steipete,,weather,upstream,Get current weather and forecasts (no API key required).,获取当前天气和预报（无需API密钥）,,167436,243889,59.2,0.99,,0.434,0.153,0.7,B,
63,notion,clawhub,steipete,,notion,upstream,"Notion API for creating and managing pages, databases, and blocks.",用于创建和管理页面、数据库及块的 Notion API。,,101369,106203,58.9,0.976,,0.443,0.153,0.7,B,
64,slack,clawhub,steipete,,slack,upstream,"Use when you need to control Slack from Clawdbot via the slack tool, including reacting to messages or pinning/unpinning items in Slack channels or DMs.",当需要通过 slack 工具从 Clawdbot 控制 Slack 时使用，包括在频道或私信中回复消息或置顶/取消置顶项目。,,53312,58721,58.1,0.944,,0.451,0.153,0.7,B,
65,grilling,skills.sh,mattpocock,mattpocock/skills,,single,,,508168,,,58,0.96,0.978,,,0.2,C,
66,domain-modeling,skills.sh,mattpocock,mattpocock/skills,,single,,,465412,,,57.8,0.956,0.973,,,0.2,C,
67,anti-ui-slop,skills.sh,uizze.com,uizze.com,,single,,,418608,,,57.8,0.947,0.993,,,0.2,C,
68,codebase-design,skills.sh,mattpocock,mattpocock/skills,,single,,,451964,,,57.7,0.955,0.97,,,0.2,C,
69,teach,skills.sh,mattpocock,mattpocock/skills,,single,,,503877,,,57.6,0.96,0.952,,,0.2,C,
70,diagnosing-bugs,skills.sh,mattpocock,mattpocock/skills,,single,,,445704,,,57.6,0.951,0.968,,,0.2,C,
71,playwright-cli,skills.sh,microsoft,microsoft/playwright-cli,,single,,,127137,,,57.2,0.803,0.572,,,0.7,C,
72,neon,skills.sh,neondatabase,neondatabase/agent-skills,,single,,,58667,,,57.2,0.7,0.777,,,0.7,C,
73,openai-whisper,clawhub,steipete,,openai-whisper,upstream,Local speech-to-text with the Whisper CLI (no API key).,使用 Whisper CLI 进行本地语音转文字（无需 API 密钥）,,87355,105597,57.2,0.971,,0.363,0.153,0.7,B,
74,webapp-testing,skills.sh,anthropics,anthropics/skills,,single,,,138227,,,56.9,0.813,0.535,,,0.7,C,
75,ask-matt,skills.sh,mattpocock,mattpocock/skills,,single,,,412362,,,56.8,0.936,0.95,,,0.2,C,
76,lark-apps,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,511632,,,56.7,0.961,0.888,,,0.2,C,
77,code-review,skills.sh,mattpocock,mattpocock/skills,,single,,,385673,,,56.6,0.92,0.963,,,0.2,C,
78,hyperframes-cli,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,418534,,,56.4,0.947,0.898,,,0.2,C,
79,implement,skills.sh,mattpocock,mattpocock/skills,,single,,,403659,,,56.4,0.924,0.948,,,0.2,C,
80,wayfinder,skills.sh,mattpocock,mattpocock/skills,,single,,,358168,,,56.3,0.912,0.96,,,0.2,C,
81,discord,clawhub,steipete,,discord,upstream,"Use when you need to control Discord from Clawdbot via the discord tool: send messages, react, post or upload stickers, upload emojis, run polls, manage threads/pins/search, fetch permissions or membe",用于通过 Clawdbot 的 discord 工具控制 Discord，包括发送消息、反应、发布或上传贴纸、上传表情符号、创建投票、管理话题/置顶/搜索、获取权限/成员/角色/频道信息，或在私聊/频道中执行管理操作。,,39440,47737,56.2,0.916,,,0.282,0.7,B,
82,research,skills.sh,mattpocock,mattpocock/skills,,single,,,351125,,,56.1,0.911,0.953,,,0.2,C,
83,lark-workflow-meeting-summary,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,601252,,,56,0.976,0.847,0.277,,0.2,C,
84,to-spec,skills.sh,mattpocock,mattpocock/skills,,single,,,344484,,,56,0.9,0.965,,,0.2,C,
85,azure-app-onboard,skills.sh,microsoft,microsoft/azure-skills,,single,,,57122,,,56,0.693,0.715,,,0.7,C,
86,azure-app-onboard-prereq,skills.sh,microsoft,microsoft/azure-skills,,single,,,57030,,,56,0.692,0.713,,,0.7,C,
87,to-tickets,skills.sh,mattpocock,mattpocock/skills,,single,,,338618,,,55.8,0.897,0.958,,,0.2,C,
88,ai-video-generation,skills.sh,skills-101,skills-101/superpowers,,single,,,280727,,,55.8,0.878,1,,,0.2,C,
89,ai-image-generation,skills.sh,skills-101,skills-101/superpowers,,single,,,280509,,,55.8,0.877,0.997,,,0.2,C,
90,ai-avatar-video,skills.sh,skills-101,skills-101/superpowers,,single,,,280435,,,55.8,0.876,0.998,,,0.2,C,
91,hyperframes,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,403947,,,55.7,0.926,0.895,,,0.2,C,
92,twitter-automation,skills.sh,skills-101,skills-101/superpowers,,single,,,280326,,,55.7,0.875,0.995,,,0.2,C,
93,pptx,skills.sh,anthropics,anthropics/skills,,single,,,206099,,,55.7,0.84,0.4,,,0.7,C,
94,vercel-react-native-skills,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,192090,,,55.7,0.834,0.413,,,0.7,C,
95,paper-context-resolver,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,450713,,,55.6,0.955,0.832,,,0.2,C,
96,resolving-merge-conflicts,skills.sh,mattpocock,mattpocock/skills,,single,,,339295,,,55.6,0.898,0.947,,,0.2,C,
97,repo-intake-and-plan,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,450005,,,55.5,0.953,0.83,,,0.2,C,
98,env-and-assets-bootstrap,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,449886,,,55.5,0.952,0.827,,,0.2,C,
99,lark-doc,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,603029,,,55.4,0.991,0.885,0.193,,0.2,C,
100,minimal-run-and-audit,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,449899,,,55.4,0.952,0.825,,,0.2,C,
