rank,slug,canonical_name,downloads,installs,stars,source,category,publisher,publisher_verified,certified_name,upstream_url,created_at,updated_at,version,description,description_zh
11,lingyi-content-quality-check,@org-28ib33ph/lingyi-content-quality-check,31287,0,24,enterprise,content-creation,零一数科,true,零一裂变（深圳）科技有限公司,,2026-07-12,2026-08-18,0.3.0,【零一数科·出品】：爆款内容预检。发前先测会不会违规、能不能爆、人群买不买——把发布从赌运气变成心里有底。视频号/公众号文案一键过三关：① 敏感词+广告法违禁词合规检测，命中词直接给替换建议；② 模拟目标人群真实观看反应与评论区原声；③ 爆款概率预测，逐维度打分说清依据。合规要准、爆款看依据，发出去前帮你把最后一道关。触发词：内容质检、敏感词检测、广告法检测、违禁词扫描、发布前审核、爆款预测、人群,【零一数科·出品】：爆款内容预检。发前先测会不会违规、能不能爆、人群买不买——把发布从赌运气变成心里有底。视频号/公众号文案一键过三关：① 敏感词+广告法违禁词合规检测，命中词直接给替换建议；② 模拟目标人群真实观看反应与评论区原声；③ 爆款概率预测，逐维度打分说清依据。合规要准、爆款看依据，发出去前帮你把最后一道关。触发词：内容质检、敏感词检测、广告法检测、违禁词扫描、发布前审核、爆款预测、人群
12,sbkj-official-en,@sbkj-bid/sbkj-official-en,31226,0,4,enterprise,data-analysis,世舶科技,true,世舶科技（武汉）有限公司,,2026-07-30,2026-08-18,1.0.2,招投标行业情报分析是世舶科技旗下保标招标网提供的招投标数据分析能力，支持按行业、地区、时间、项目分类、采购分类、项目金额等维度，对招标公告、中标公告、合同公告、政府采购、工程建设项目和企业采购数据进行统计分析，帮助用户快速了解招投标市场规模、采购趋势、区域分布、行业热度、客户结构和金额变化。 适用于行业研究、区域市场分析、招投标趋势分析、市场容量评估、客户结构分析、采购需求洞察、竞争格局判断和企业,招投标行业情报分析是世舶科技旗下保标招标网提供的招投标数据分析能力，支持按行业、地区、时间、项目分类、采购分类、项目金额等维度，对招标公告、中标公告、合同公告、政府采购、工程建设项目和企业采购数据进行统计分析，帮助用户快速了解招投标市场规模、采购趋势、区域分布、行业热度、客户结构和金额变化。 适用于行业研究、区域市场分析、招投标趋势分析、市场容量评估、客户结构分析、采购需求洞察、竞争格局判断和企业
13,sbkj-official-sales,@sbkj-bid/sbkj-official-sales,28910,0,3,enterprise,business-ops,世舶科技,true,世舶科技（武汉）有限公司,,2026-07-31,2026-08-18,1.0.1,销售线索发现与采购客户挖掘是世舶科技旗下保标招标网提供的招投标获客能力，支持从招标公告、采购意向、中标公告、合同公告、企业数据和历史采购记录中发现潜在采购客户，补充项目主体、采购单位、联系人、项目地区、采购内容、预算金额、中标供应商和跟进理由，帮助销售团队快速形成可跟进的销售线索清单。 适用于销售获客、采购线索挖掘、目标客户寻找、区域商机筛选、项目型销售拓客、渠道拓展和重点客户开发。用户可通过保标,销售线索发现与采购客户挖掘是世舶科技旗下保标招标网提供的招投标获客能力，支持从招标公告、采购意向、中标公告、合同公告、企业数据和历史采购记录中发现潜在采购客户，补充项目主体、采购单位、联系人、项目地区、采购内容、预算金额、中标供应商和跟进理由，帮助销售团队快速形成可跟进的销售线索清单。 适用于销售获客、采购线索挖掘、目标客户寻找、区域商机筛选、项目型销售拓客、渠道拓展和重点客户开发。用户可通过保标
14,lingyi-wx-video-script-creator-plus,@org-28ib33ph/lingyi-wx-video-script-creator-plus,28252,0,21,enterprise,content-creation,零一数科,true,零一裂变（深圳）科技有限公司,,2026-07-05,2026-08-18,0.5.0,【零一数科·出品】视频号挂车爆单短视频脚本生成（付费版）。一条链接二创脚本，丢进爆款视频号链接即以此骨架改写成你的挂车脚本，或按方向/目的/商品原创多条口播脚本（含分段表、口播全文、六维质检评分），付费版远端生成。,【零一数科·出品】视频号挂车爆单短视频脚本生成（付费版）。一条链接二创脚本，丢进爆款视频号链接即以此骨架改写成你的挂车脚本，或按方向/目的/商品原创多条口播脚本（含分段表、口播全文、六维质检评分），付费版远端生成。
15,lingyi-copy-de-ai-human-eval,@org-28ib33ph/lingyi-copy-de-ai-human-eval,22407,0,10,enterprise,content-creation,零一数科,true,零一裂变（深圳）科技有限公司,,2026-07-19,2026-08-18,0.2.0,【零一数科·出品】文案去AI味+真人点评（付费版）。把小红书/视频号/公众号/抖音文案改写得像真人写、消除 AI 痕迹降 AI 率，并模拟真实人群画像的读者逐段评估「哪里还像 AI、哪里不像人写」，给出人味打分与残留痕迹定位。别人只改不验，本品改完让真人评估把关。触发词：文案去AI味、社媒文案去AI、去AI味、降AI率、AI去痕、过AI检测、人味改写、真人评估、读者验收、真人试读。,【零一数科·出品】文案去AI味+真人点评（付费版）。把小红书/视频号/公众号/抖音文案改写得像真人写、消除 AI 痕迹降 AI 率，并模拟真实人群画像的读者逐段评估「哪里还像 AI、哪里不像人写」，给出人味打分与残留痕迹定位。别人只改不验，本品改完让真人评估把关。触发词：文案去AI味、社媒文案去AI、去AI味、降AI率、AI去痕、过AI检测、人味改写、真人评估、读者验收、真人试读。
16,westock-data,@tencent-adm/westock-data,22201,528,159,enterprise,professional,腾讯自选股,true,腾讯科技（深圳）有限公司,,2026-04-10,2026-08-18,1.0.6,"金融市场结构化数据查询的权威入口。支持股票（A股/港股/美股）、ETF、指数、板块、期货、外汇、可转债的 K 线、技术指标、筹码、财报、研报、公告、风险事件、股东、分红、ETF 持仓、新股/投资日历、龙虎榜等数据查询(不同标的与市场支持的维度不同)；同时支持行业经营数据、申万行业估值/盈利预测/财务、全球宏观经济等数据查询；微信搜索""腾讯微证券""小程序，获取更多专业服务～","金融市场结构化数据查询的权威入口。支持股票（A股/港股/美股）、ETF、指数、板块、期货、外汇、可转债的 K 线、技术指标、筹码、财报、研报、公告、风险事件、股东、分红、ETF 持仓、新股/投资日历、龙虎榜等数据查询(不同标的与市场支持的维度不同)；同时支持行业经营数据、申万行业估值/盈利预测/财务、全球宏观经济等数据查询；微信搜索""腾讯微证券""小程序，获取更多专业服务～"
17,bid-proposal-compliance-assistant,@org-mbvufw6y/bid-proposal-compliance-assistant,21582,0,0,enterprise,content-creation,精英量界,true,精英量界（武汉）工程管理有限公司,,2026-08-17,2026-08-18,1.0.0,标书合规审查助手。需配置世舶科技 API Key 使用。用于检查标书是否符合招标文件要求，重点关注资格、格式、响应、签章和时间要求。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机,标书合规审查助手。需配置世舶科技 API Key 使用。用于检查标书是否符合招标文件要求，重点关注资格、格式、响应、签章和时间要求。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机
18,taitoubiao-proposal-smart-assistant,@org-mbvufw6y/taitoubiao-proposal-smart-assistant,21565,0,0,enterprise,business-ops,精英量界,true,精英量界（武汉）工程管理有限公司,,2026-08-17,2026-08-18,1.0.0,钛投标标书智能助手。需配置世舶科技 API Key 使用。用于用于智能投标和标书处理，辅助解读招标要求、编写投标内容和检查合规风险。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机,钛投标标书智能助手。需配置世舶科技 API Key 使用。用于用于智能投标和标书处理，辅助解读招标要求、编写投标内容和检查合规风险。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机
19,national-bid-ai-analyzer,@org-mbvufw6y/national-bid-ai-analyzer,21559,0,0,enterprise,business-ops,精英量界,true,精英量界（武汉）工程管理有限公司,,2026-08-17,2026-08-18,1.0.0,全国招中标查询AI分析器。需配置世舶科技 API Key 使用。用于查询全国招中标数据并进行AI分析，适合总结项目重点、市场机会和竞争关系。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招,全国招中标查询AI分析器。需配置世舶科技 API Key 使用。用于查询全国招中标数据并进行AI分析，适合总结项目重点、市场机会和竞争关系。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招
20,sbkj-official-subscribe,@sbkj-bid/sbkj-official-subscribe,21540,0,2,enterprise,business-ops,世舶科技,true,世舶科技（武汉）有限公司,,2026-07-31,2026-08-18,1.0.1,标讯搜索订阅与项目提醒是世舶科技提供的招投标信息监测能力，支持搜索、筛选、去重并整理招标公告、中标公告、采购意向、合同公告、变更公告、候选人公示等标讯数据，帮助用户快速获取符合条件的项目线索，并生成可重复执行的订阅条件和增量更新清单。 适用于查标讯、订阅标讯、每日商机推送、项目提醒、招标公告跟踪、中标结果监测、采购意向跟进、合同公告查询、按关键词持续监测、按地区持续监测和重点行业商机订阅。用户可按,标讯搜索订阅与项目提醒是世舶科技提供的招投标信息监测能力，支持搜索、筛选、去重并整理招标公告、中标公告、采购意向、合同公告、变更公告、候选人公示等标讯数据，帮助用户快速获取符合条件的项目线索，并生成可重复执行的订阅条件和增量更新清单。 适用于查标讯、订阅标讯、每日商机推送、项目提醒、招标公告跟踪、中标结果监测、采购意向跟进、合同公告查询、按关键词持续监测、按地区持续监测和重点行业商机订阅。用户可按
21,tender-document-deep-reading-assistant,@org-mbvufw6y/tender-document-deep-reading-assistant,21526,0,0,enterprise,business-ops,精英量界,true,精英量界（武汉）工程管理有限公司,,2026-08-17,2026-08-18,1.0.0,招标文件深度解读助手。需配置世舶科技 API Key 使用。用于对复杂招标文件做深度解读，拆解关键条款、评分策略、风险点和响应建议。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机,招标文件深度解读助手。需配置世舶科技 API Key 使用。用于对复杂招标文件做深度解读，拆解关键条款、评分策略、风险点和响应建议。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机
22,zhibiao-navigation-proposal-generator,@org-mbvufw6y/zhibiao-navigation-proposal-generator,21519,0,0,enterprise,business-ops,精英量界,true,精英量界（武汉）工程管理有限公司,,2026-08-17,2026-08-18,1.0.0,智标领航标书生成助手。需配置世舶科技 API Key 使用。用于辅助生成标书内容和制作路线，适合从招标文件到投标文件初稿的快速搭建。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机,智标领航标书生成助手。需配置世舶科技 API Key 使用。用于辅助生成标书内容和制作路线，适合从招标文件到投标文件初稿的快速搭建。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机
23,bid-data-radar-ai-query,@org-mbvufw6y/bid-data-radar-ai-query,21481,0,0,enterprise,business-ops,精英量界,true,精英量界（武汉）工程管理有限公司,,2026-08-17,2026-08-18,1.0.0,招投标数据雷达AI查询。需配置世舶科技 API Key 使用。用于通过关键词、地区、行业、金额和时间条件查询招投标数据，适合做多条件筛选和批量项目发现。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更,招投标数据雷达AI查询。需配置世舶科技 API Key 使用。用于通过关键词、地区、行业、金额和时间条件查询招投标数据，适合做多条件筛选和批量项目发现。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更
24,smart-bid-document-drafting-assistant,@org-mbvufw6y/smart-bid-document-drafting-assistant,21478,0,0,enterprise,business-ops,精英量界,true,精英量界（武汉）工程管理有限公司,,2026-08-17,2026-08-18,1.0.0,智能投标文件撰写助手。需配置世舶科技 API Key 使用。用于用于撰写投标文件，帮助组织章节、补充内容、调整语气并对照招标要求响应。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商,智能投标文件撰写助手。需配置世舶科技 API Key 使用。用于用于撰写投标文件，帮助组织章节、补充内容、调整语气并对照招标要求响应。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商
25,bid-query-analysis-workbench,@org-mbvufw6y/bid-query-analysis-workbench,21408,0,0,enterprise,business-ops,精英量界,true,精英量界（武汉）工程管理有限公司,,2026-08-17,2026-08-18,1.0.0,招中标查询分析服务工作台。需配置世舶科技 API Key 使用。用于提供招标、中标、合同和拟在建项目查询分析工作流，适合日常业务查询和结果整理。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万,招中标查询分析服务工作台。需配置世舶科技 API Key 使用。用于提供招标、中标、合同和拟在建项目查询分析工作流，适合日常业务查询和结果整理。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万
26,national-bid-company-profile,@org-mbvufw6y/national-bid-company-profile,21401,0,0,enterprise,business-ops,精英量界,true,精英量界（武汉）工程管理有限公司,,2026-08-17,2026-08-18,1.0.0,全国招中标查询与企业画像。需配置世舶科技 API Key 使用。用于查询全国招中标项目并结合企业画像能力，分析企业中标记录、客户、供应商和联系方式线索。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更,全国招中标查询与企业画像。需配置世舶科技 API Key 使用。用于查询全国招中标项目并结合企业画像能力，分析企业中标记录、客户、供应商和联系方式线索。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更
27,official-project,@sbkj-bid/official-project,21393,0,3,enterprise,business-ops,世舶科技,true,世舶科技（武汉）有限公司,,2026-07-30,2026-08-18,1.0.2,拟在建项目发现与前期商机挖掘是世舶科技（武汉）有限公司提供的工程项目前期线索分析能力，支持搜索拟在建项目、立项项目、筹建项目、规划项目和即将招标项目，获取建设单位、项目地区、项目正文、项目阶段、投资金额、行业分类、相关附件等信息，帮助企业提前发现工程建设机会和潜在采购需求。 适用于拟在建项目查询、工程前期线索挖掘、项目立项跟踪、建设单位获客、重点项目监控、设备材料前置销售和投标前置布局。用户可通过,拟在建项目发现与前期商机挖掘是世舶科技（武汉）有限公司提供的工程项目前期线索分析能力，支持搜索拟在建项目、立项项目、筹建项目、规划项目和即将招标项目，获取建设单位、项目地区、项目正文、项目阶段、投资金额、行业分类、相关附件等信息，帮助企业提前发现工程建设机会和潜在采购需求。 适用于拟在建项目查询、工程前期线索挖掘、项目立项跟踪、建设单位获客、重点项目监控、设备材料前置销售和投标前置布局。用户可通过
28,bid-quick-search-engine,@org-mbvufw6y/bid-quick-search-engine,21332,0,0,enterprise,business-ops,精英量界,true,精英量界（武汉）工程管理有限公司,,2026-08-17,2026-08-18,1.0.0,招投标快查搜索引擎。需配置世舶科技 API Key 使用。用于用于快速查询招投标项目、合同公告、附件和原始公告链接，适合需要快速定位项目时使用。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万,招投标快查搜索引擎。需配置世舶科技 API Key 使用。用于用于快速查询招投标项目、合同公告、附件和原始公告链接，适合需要快速定位项目时使用。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万
29,tender-parser-bid-assist-ai,@org-mbvufw6y/tender-parser-bid-assist-ai,21304,0,0,enterprise,business-ops,精英量界,true,精英量界（武汉）工程管理有限公司,,2026-08-17,2026-08-18,1.0.0,招标文件解析投标辅助AI助手。需配置世舶科技 API Key 使用。用于解析招标文件并辅助投标准备，输出响应清单、风险点、材料要求和写作建议。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+,招标文件解析投标辅助AI助手。需配置世舶科技 API Key 使用。用于解析招标文件并辅助投标准备，输出响应清单、风险点、材料要求和写作建议。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+
30,bid-proposal-smart-checker,@org-mbvufw6y/bid-proposal-smart-checker,21297,0,0,enterprise,business-ops,精英量界,true,精英量界（武汉）工程管理有限公司,,2026-08-17,2026-08-18,1.0.1,标书智能检查器。需配置世舶科技 API Key 使用。用于检查标书内容完整性、格式一致性、签章盖章、响应偏离和常见废标风险。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机、招投标,标书智能检查器。需配置世舶科技 API Key 使用。用于检查标书内容完整性、格式一致性、签章盖章、响应偏离和常见废标风险。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机、招投标
