skill_key,query,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_mentions_7d,x_truncated,x_pages,x_engagement_7d,llm_filtered,x_raw_7d,x_filtered,judge_model
multi-search-engine,"""multi-search-engine""",0,0,0,1,1,0,false,1,0,true,1,true,typesafe/jev-1.13
prototype,"""prototype"" skill",0,12,0,4,48,1,true,5,5,true,100,true,typesafe/jev-1.13
agent-browser-clawdbot,"""agent-browser-clawdbot""",0,0,0,0,0,0,false,1,0,false,0,false,
grilling,"""grilling"" skill",1,2,0,0,31,28,false,3,286,true,43,true,typesafe/jev-1.13
admapix,"""admapix"" skill",0,0,0,0,0,0,false,1,0,false,0,false,
vercel-react-best-practices,"""vercel-react-best-practices""",0,0,0,0,12,0,false,1,0,false,0,false,
humanizer,"""humanizer"" skill",1,3,0,0,25,42,false,4,2974,true,67,true,typesafe/jev-1.13
lark-doc,"""lark-doc""",0,0,0,0,0,0,false,1,0,false,1,true,typesafe/jev-1.13
nano-pdf,"""nano-pdf""",0,0,0,0,0,1,false,1,0,false,1,true,typesafe/jev-1.13
lark-base,"""lark-base""",0,0,0,0,0,0,false,1,0,false,0,false,
obsidian,"""obsidian"" skill",0,5,0,4,20,63,true,5,1460,true,100,true,typesafe/jev-1.13
lark-drive,"""lark-drive""",0,0,0,0,0,0,false,1,0,false,1,true,typesafe/jev-1.13
nano-banana-pro,"""nano-banana-pro""",1,1,3,7,0,20,false,2,273,true,36,true,typesafe/jev-1.13
lark-shared,"""lark-shared""",0,0,0,0,0,0,false,1,0,false,1,true,typesafe/jev-1.13
openclaw-tavily-search,"""openclaw-tavily-search""",0,0,0,0,0,0,false,1,0,false,0,false,
lark-im,"""lark-im""",0,0,0,0,0,0,false,1,0,false,1,true,typesafe/jev-1.13
notion,"""notion"" skill",0,14,0,7,14,6,true,5,15,true,100,true,typesafe/jev-1.13
lark-approval,"""lark-approval""",0,0,0,0,0,0,false,1,0,false,0,false,
skill-creator,"""skill-creator""",0,0,1,4,122,50,false,4,2094,true,73,true,typesafe/jev-1.13
lark-calendar,"""lark-calendar""",0,0,0,0,0,0,false,1,0,false,1,true,typesafe/jev-1.13
pollyreach,"""pollyreach"" skill",0,0,0,0,0,1,false,1,0,false,1,true,typesafe/jev-1.13
lark-sheets,"""lark-sheets""",0,0,0,0,0,0,false,1,0,false,0,false,
auto-updater,"""auto-updater""",0,0,5,9,0,0,false,1,0,true,2,true,typesafe/jev-1.13
lark-wiki,"""lark-wiki""",0,0,0,0,0,0,false,1,0,false,0,false,
word-docx,"""word-docx""",0,0,0,3,1,1,false,1,0,true,2,true,typesafe/jev-1.13
lark-contact,"""lark-contact""",0,0,0,0,0,0,false,1,0,false,0,false,
baidu-search,"""baidu-search""",0,0,0,3,0,0,false,1,0,true,0,false,typesafe/jev-1.13
lark-slides,"""lark-slides""",0,0,0,0,0,0,false,1,0,false,0,false,
evolver,"""evolver"" skill",0,0,0,0,0,0,false,1,0,false,5,true,typesafe/jev-1.13
lark-task,"""lark-task""",0,0,0,0,0,0,false,1,0,false,1,true,typesafe/jev-1.13
sonoscli,"""sonoscli"" skill",0,0,0,0,0,0,false,1,0,false,0,false,
lark-mail,"""lark-mail""",0,0,0,0,0,,false,,,false,,false,
openai-whisper,"""openai-whisper""",0,0,0,0,0,,false,,,false,,false,
lark-minutes,"""lark-minutes""",0,0,0,0,0,,false,,,false,,false,
api-gateway,"""api-gateway""",0,3,0,63,1,,false,,,true,,false,typesafe/jev-1.13
lark-event,"""lark-event""",0,0,0,0,0,,false,,,false,,false,
prismfy-search,"""prismfy-search""",0,0,0,0,0,,false,,,false,,false,
lark-whiteboard,"""lark-whiteboard""",0,0,0,0,0,,false,,,false,,false,
automation-workflows,"""automation-workflows""",0,0,2,25,1,,false,,,true,,false,typesafe/jev-1.13
lark-attendance,"""lark-attendance""",0,0,0,0,0,,false,,,false,,false,
excel-xlsx,"""excel-xlsx""",0,0,0,1,0,,false,,,true,,false,typesafe/jev-1.13
lark-openapi-explorer,"""lark-openapi-explorer""",0,0,0,0,0,,false,,,false,,false,
feishu-evolver-wrapper,"""feishu-evolver-wrapper""",0,0,0,0,0,,false,,,false,,false,
lark-skill-maker,"""lark-skill-maker""",0,0,0,0,0,,false,,,false,,false,
browser-use,"""browser-use""",4,6,25,32,6,,false,,,true,,false,typesafe/jev-1.13
lark-vc,"""lark-vc""",0,0,0,0,0,,false,,,false,,false,
agent-phone-call,"""agent-phone-call""",0,0,0,0,0,,false,,,false,,false,
lark-workflow-meeting-summary,"""lark-workflow-meeting-summary""",0,0,0,0,0,,false,,,false,,false,
free-ride,"""free-ride""",0,2,0,163,0,,false,,,true,,false,typesafe/jev-1.13
lark-workflow-standup-report,"""lark-workflow-standup-report""",0,0,0,0,0,,false,,,false,,false,
mcporter,"""mcporter"" skill",0,0,0,0,0,,false,,,false,,false,
teach,"""teach"" skill",0,22,5,54,145,,false,,,true,,false,typesafe/jev-1.13
elite-longterm-memory,"""elite-longterm-memory""",0,0,0,0,0,,false,,,false,,false,
lark-okr,"""lark-okr""",0,0,0,0,0,,false,,,false,,false,
desktop-control,"""desktop-control""",0,0,3,5,1,,false,,,true,,false,typesafe/jev-1.13
domain-modeling,"""domain-modeling""",0,1,0,3,2,,false,,,true,,false,typesafe/jev-1.13
brave-search,"""brave-search""",0,1,2,13,1,,false,,,true,,false,typesafe/jev-1.13
lark-markdown,"""lark-markdown""",0,0,0,0,0,,false,,,false,,false,
find-skills-skill,"""find-skills-skill""",0,0,0,0,194,,false,,,false,,false,
codebase-design,"""codebase-design""",0,1,0,1,3,,false,,,true,,false,typesafe/jev-1.13
stock-analysis,"""stock-analysis""",0,0,0,340,1,,false,,,true,,false,typesafe/jev-1.13
hyperframes-cli,"""hyperframes-cli""",0,0,0,0,0,,false,,,false,,false,
video-frames,"""video-frames""",0,1,0,7,0,,false,,,true,,false,typesafe/jev-1.13
lark-vc-agent,"""lark-vc-agent""",0,0,0,0,0,,false,,,false,,false,
powerpoint-pptx,"""powerpoint-pptx""",0,0,0,0,0,,false,,,false,,false,
video-edit,"""video-edit""",0,0,0,37,8,,false,,,true,,false,typesafe/jev-1.13
youtube-watcher,"""youtube-watcher""",0,0,0,0,0,,false,,,false,,false,
ai-music,"""ai-music""",0,9,28,337,1,,false,,,true,,false,typesafe/jev-1.13
slack,"""slack"" skill",1,8,0,3,29,,false,,,true,,false,typesafe/jev-1.13
web-design-guidelines,"""web-design-guidelines""",0,0,0,0,17,,false,,,false,,false,
himalaya,"""himalaya"" skill",0,0,0,0,1,,false,,,false,,false,
ai-video-generation,"""ai-video-generation""",1,1,25,60,0,,false,,,true,,false,typesafe/jev-1.13
imap-smtp-email,"""imap-smtp-email""",0,0,0,0,0,,false,,,false,,false,
image-to-video,"""image-to-video""",0,0,16,23,1,,false,,,true,,false,typesafe/jev-1.13
news-summary,"""news-summary""",0,0,0,74,0,,false,,,true,,false,typesafe/jev-1.13
ai-image-generation,"""ai-image-generation""",0,1,26,41,1,,false,,,true,,false,typesafe/jev-1.13
xiucheng-self-improving-agent,"""xiucheng-self-improving-agent""",0,0,0,0,0,,false,,,false,,false,
diagnosing-bugs,"""diagnosing-bugs""",1,1,0,0,0,,false,,,true,,false,typesafe/jev-1.13
pdf,"""pdf"" skill",2,25,0,19,59,,false,,,true,,false,typesafe/jev-1.13
hyperframes,"""hyperframes"" skill",0,0,0,0,41,,false,,,false,,false,
markdown-converter,"""markdown-converter""",0,0,0,3,0,,false,,,true,,false,typesafe/jev-1.13
