skill_key,query,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_mentions_7d,x_truncated,x_pages,x_engagement_7d,llm_filtered,x_raw_7d,x_filtered,judge_model
elite-longterm-memory,"""elite-longterm-memory""",0,0,0,0,0,,false,,,false,,false,
teach,"""teach"" skill",0,24,4,52,123,,false,,,true,,false,typesafe/jev-1.13
desktop-control,"""desktop-control""",0,0,0,2,0,,false,,,true,,false,typesafe/jev-1.13
domain-modeling,"""domain-modeling""",0,1,0,2,3,,false,,,true,,false,typesafe/jev-1.13
brave-search,"""brave-search""",0,2,2,21,0,,false,,,true,,false,typesafe/jev-1.13
lark-markdown,"""lark-markdown""",0,0,0,0,0,,false,,,false,,false,
find-skills-skill,"""find-skills-skill""",0,0,0,0,138,,false,,,false,,false,
codebase-design,"""codebase-design""",0,0,0,1,4,,false,,,true,,false,typesafe/jev-1.13
stock-analysis,"""stock-analysis""",0,0,0,325,2,,false,,,true,,false,typesafe/jev-1.13
lark-vc-agent,"""lark-vc-agent""",0,0,0,0,0,,false,,,false,,false,
video-frames,"""video-frames""",0,1,0,10,0,,false,,,true,,false,typesafe/jev-1.13
web-design-guidelines,"""web-design-guidelines""",0,0,0,0,14,,false,,,false,,false,
powerpoint-pptx,"""powerpoint-pptx""",0,0,0,0,0,,false,,,false,,false,
hyperframes-cli,"""hyperframes-cli""",0,0,0,0,0,,false,,,false,,false,
youtube-watcher,"""youtube-watcher""",0,0,0,1,0,,false,,,true,,false,typesafe/jev-1.13
diagnosing-bugs,"""diagnosing-bugs""",1,1,0,0,3,,false,,,true,,false,typesafe/jev-1.13
slack,"""slack"" skill",1,8,0,5,20,,false,,,true,,false,typesafe/jev-1.13
video-edit,"""video-edit""",0,0,0,41,3,,false,,,true,,false,typesafe/jev-1.13
himalaya,"""himalaya"" skill",0,0,0,0,1,,false,,,false,,false,
ai-music,"""ai-music""",0,8,0,374,0,,false,,,true,,false,typesafe/jev-1.13
imap-smtp-email,"""imap-smtp-email""",0,0,0,0,0,,false,,,false,,false,
ai-video-generation,"""ai-video-generation""",0,0,55,73,0,,false,,,true,,false,typesafe/jev-1.13
news-summary,"""news-summary""",0,0,0,68,0,,false,,,true,,false,typesafe/jev-1.13
image-to-video,"""image-to-video""",0,0,17,23,0,,false,,,true,,false,typesafe/jev-1.13
xiucheng-self-improving-agent,"""xiucheng-self-improving-agent""",0,0,0,0,0,,false,,,false,,false,
ai-image-generation,"""ai-image-generation""",0,1,38,45,0,,false,,,true,,false,typesafe/jev-1.13
pdf,"""pdf"" skill",2,25,1,23,64,,false,,,true,,false,typesafe/jev-1.13
lark-apps,"""lark-apps""",0,0,0,0,0,,false,,,false,,false,
markdown-converter,"""markdown-converter""",0,0,0,5,0,,false,,,true,,false,typesafe/jev-1.13
