rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,wis,popularity,momentum,buzz,maintenance,trust,coverage,anomaly
40,entra-agent-id,skills.sh,microsoft,microsoft/azure-skills,,single,,,252342,,,61.7,0.873,0.732,,,0.7,C,
41,grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,single,,,762227,,,61.6,0.997,0.958,0.442,,0.2,C,
42,azure-prepare,skills.sh,microsoft,microsoft/azure-skills,,single,,,530957,,,61.6,0.969,0.778,0.12,,0.7,C,
43,entra-app-registration,skills.sh,microsoft,microsoft/azure-skills,,single,,,529886,,,61.5,0.967,0.773,0.12,,0.7,C,
44,prototype,skills.sh,mattpocock,mattpocock/skills,,single,,,600810,,,61.4,0.992,0.937,0.456,,0.2,C,
45,appinsights-instrumentation,skills.sh,microsoft,microsoft/azure-skills,,single,,,529654,,,61.4,0.966,0.767,0.12,,0.7,C,
46,azure-compliance,skills.sh,microsoft,microsoft/azure-skills,,single,,,529513,,,61.4,0.964,0.772,0.12,,0.7,C,
47,azure-resource-lookup,skills.sh,microsoft,microsoft/azure-skills,,single,,,529568,,,61.3,0.965,0.765,0.12,,0.7,C,
48,vercel-composition-patterns,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,294647,,,61.3,0.887,0.678,,,0.7,C,
49,azure-aigateway,skills.sh,microsoft,microsoft/azure-skills,,single,,,529367,,,61.2,0.964,0.76,0.12,,0.7,C,
50,github,clawhub,steipete,,github,upstream,"Interact with GitHub using the `gh` CLI. Use `gh issue`, `gh pr`, `gh run`, and `gh api` for issues, PRs, CI runs, and advanced queries.",使用 `gh` CLI 与 GitHub 交互，通过 `gh issue`、`gh pr`、`gh run` 和 `gh api` 管理议题、PR、CI 运行及高级查询。,,195941,363770,61.2,0.995,,0.474,0.224,0.7,B,
51,supabase,skills.sh,supabase,supabase/agent-skills,,single,,,225258,,,60.9,0.861,0.707,,,0.7,C,
52,azure-reliability,skills.sh,microsoft,microsoft/azure-skills,,single,,,211570,,,60.9,0.848,0.733,,,0.7,C,
53,brave-search,clawhub,steipete,,brave-search,upstream,"Web search and content extraction via Brave Search API. Use for searching documentation, facts, or any web content. Lightweight, no browser required.",通过 Brave Search API 进行网页搜索与内容提取。适用于搜索文档、事实或任何网页内容。轻量级，无需浏览器。,,61157,74464,60.4,0.956,,0.456,0.276,0.7,B,
54,python-appservice-deploy,skills.sh,microsoft,microsoft/azure-skills,,single,,,135016,,,59.8,0.811,0.73,,,0.7,C,
55,obsidian,clawhub,steipete,,obsidian,upstream,Work with Obsidian vaults (plain Markdown notes) and automate via obsidian-cli.,操作 Obsidian 仓库（纯 Markdown 笔记）并通过 obsidian-cli 自动化。,,107739,120509,59.5,0.98,,0.454,0.168,0.7,B,
56,weather,clawhub,steipete,,weather,upstream,Get current weather and forecasts (no API key required).,获取当前天气和预报（无需API密钥）,,167134,242684,59.1,0.991,,0.425,0.158,0.7,B,
57,improve-codebase-architecture,skills.sh,mattpocock,mattpocock/skills,,single,,,734328,,,59,0.997,0.957,0.313,,0.2,C,
58,setup-matt-pocock-skills,skills.sh,mattpocock,mattpocock/skills,,single,,,652798,,,59,0.994,0.94,0.326,,0.2,C,
59,neon-postgres,skills.sh,neondatabase,neondatabase/agent-skills,,single,,,96769,,,59,0.784,0.728,,,0.7,C,
60,notion,clawhub,steipete,,notion,upstream,"Notion API for creating and managing pages, databases, and blocks.",用于创建和管理页面、数据库及块的 Notion API。,,101134,105301,59,0.976,,0.445,0.158,0.7,B,
61,gog,clawhub,steipete,,gog,upstream,"Google Workspace CLI for Gmail, Calendar, Drive, Contacts, Sheets, and Docs.",Google Workspace 命令行工具，支持 Gmail、日历、云端硬盘、通讯录、表格和文档。,,191362,198720,58.7,0.991,,0.406,0.158,0.7,B,
62,api-gateway,clawhub,,,api-gateway,upstream,"Connect to external services through Maton-managed API routes. Use this skill only after the user names the target app, account, and task. Start with read/list calls when possible and follow the app-s",通过 Maton 管理的 API 路由连接外部服务；仅在用户指定目标应用、账户和任务后使用；以读取/列...,,85747,115857,58.6,0.973,,0.424,0.827,0.2,B,
63,slack,clawhub,steipete,,slack,upstream,"Use when you need to control Slack from Clawdbot via the slack tool, including reacting to messages or pinning/unpinning items in Slack channels or DMs.",当需要通过 slack 工具从 Clawdbot 控制 Slack 时使用，包括在频道或私信中回复消息或置顶/取消置顶项目。,,53254,57868,58.1,0.943,,0.449,0.158,0.7,B,
64,self-improving,clawhub,,,self-improving,upstream,"Self-reflection + Self-criticism + Self-learning + Self-organizing memory. Agent evaluates its own work, catches mistakes, and improves permanently. Use when...",自我反思+自我批评+自我学习+自组织记忆。智能体评估自身工作、发现错误并持续改进。,,207357,380078,58,0.997,,0.645,0.445,0.2,B,
65,grilling,skills.sh,mattpocock,mattpocock/skills,,single,,,476172,,,57.9,0.958,0.978,,,0.2,C,
66,azure-rbac,skills.sh,microsoft,microsoft/azure-skills,,single,,,483004,,,57.7,0.959,0.295,,,0.7,C,
67,paper-context-resolver,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,428659,,,57.7,0.953,0.973,,,0.2,C,
68,lark-doc,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,589529,,,57.6,0.991,0.888,0.301,,0.2,C,
69,repo-intake-and-plan,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,427961,,,57.6,0.953,0.965,,,0.2,C,
70,minimal-run-and-audit,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,427887,,,57.6,0.952,0.968,,,0.2,C,
71,domain-modeling,skills.sh,mattpocock,mattpocock/skills,,single,,,436524,,,57.5,0.955,0.955,,,0.2,C,
72,env-and-assets-bootstrap,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,427873,,,57.5,0.951,0.962,,,0.2,C,
73,lark-im,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,588893,,,57.3,0.986,0.882,0.301,,0.2,C,
74,nano-banana-pro,clawhub,steipete,,nano-banana-pro,upstream,Generate/edit images with Nano Banana Pro (Gemini 3 Pro Image). Use for image create/modify requests incl. edits. Supports text-to-image + image-to-image; 1K/2K/4K; use --input-image.,使用 Nano Banana Pro (Gemini 3 Pro Image) 生成或编辑图像。支持文生图、图生图及 1K/2K/4K 分辨率，适用于图像创建、修改及编辑请求，使用 --input-image 指定输入图像。,,106212,128818,57.3,0.981,,0.251,0.287,0.7,B,
75,teach,skills.sh,mattpocock,mattpocock/skills,,single,,,478908,,,57.2,0.958,0.932,,,0.2,C,
76,codebase-design,skills.sh,mattpocock,mattpocock/skills,,single,,,424126,,,57.2,0.95,0.948,,,0.2,C,
77,diagnosing-bugs,skills.sh,mattpocock,mattpocock/skills,,single,,,418359,,,57.2,0.95,0.95,,,0.2,C,
78,anti-ui-slop,skills.sh,uizze.com,uizze.com,,single,,,366302,,,56.9,0.919,0.987,,,0.2,C,
79,lark-apps,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,498106,,,56.6,0.961,0.883,,,0.2,C,
80,lark-workflow-meeting-summary,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,587868,,,56.2,0.976,0.847,0.286,,0.2,C,
81,hyperframes-cli,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,402072,,,56.2,0.927,0.927,,,0.2,C,
82,ask-matt,skills.sh,mattpocock,mattpocock/skills,,single,,,388255,,,56.2,0.924,0.93,,,0.2,C,
83,implement,skills.sh,mattpocock,mattpocock/skills,,single,,,380349,,,56.2,0.922,0.933,,,0.2,C,
84,pptx,skills.sh,anthropics,anthropics/skills,,single,,,204110,,,56.2,0.846,0.42,,,0.7,C,
85,code-review,skills.sh,mattpocock,mattpocock/skills,,single,,,359861,,,56.1,0.915,0.942,,,0.2,C,
86,discord,clawhub,steipete,,discord,upstream,"Use when you need to control Discord from Clawdbot via the discord tool: send messages, react, post or upload stickers, upload emojis, run polls, manage threads/pins/search, fetch permissions or membe",用于通过 Clawdbot 的 discord 工具控制 Discord，包括发送消息、反应、发布或上传贴纸、上传表情符号、创建投票、管理话题/置顶/搜索、获取权限/成员/角色/频道信息，或在私聊/频道中执行管理操作。,,39419,46891,56.1,0.911,,,0.287,0.7,B,
87,playwright-cli,skills.sh,microsoft,microsoft/playwright-cli,,single,,,123951,,,56,0.801,0.497,,,0.7,C,
88,ai-research-explore,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,288912,,,55.7,0.886,0.972,,,0.2,C,
89,analyze-project,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,288820,,,55.7,0.886,0.977,,,0.2,C,
90,hyperframes,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,389390,,,55.6,0.925,0.892,,,0.2,C,
91,wayfinder,skills.sh,mattpocock,mattpocock/skills,,single,,,331959,,,55.6,0.898,0.943,,,0.2,C,
92,to-spec,skills.sh,mattpocock,mattpocock/skills,,single,,,319032,,,55.6,0.894,0.952,,,0.2,C,
93,ai-research-reproduction,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,288730,,,55.6,0.885,0.97,,,0.2,C,
94,safe-debug,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,288437,,,55.6,0.884,0.975,,,0.2,C,
95,vercel-react-native-skills,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,190005,,,55.6,0.835,0.4,,,0.7,C,
96,firebase-basics,skills.sh,firebase,firebase/agent-skills,,single,,,133427,,,55.6,0.81,0.455,,,0.7,C,
97,firebase-auth-basics,skills.sh,firebase,firebase/agent-skills,,single,,,132408,,,55.6,0.809,0.453,,,0.7,C,
98,explore-code,skills.sh,lllllllama,lllllllama/rigorpilot-skills,,single,,,288510,,,55.5,0.884,0.967,,,0.2,C,
99,research,skills.sh,mattpocock,mattpocock/skills,,single,,,325744,,,55.4,0.895,0.935,,,0.2,C,
100,to-tickets,skills.sh,mattpocock,mattpocock/skills,,single,,,312487,,,55.4,0.892,0.947,,,0.2,C,
