rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,first_seen_days,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,pop_score
15,repair-services-bid-analysis-shibo,skillhub-cn,,,,single,,修理业招标采购分析【世舶科技】。需配置世舶科技 API Key 使用。当搜索词包含维修、修理、维保、保养、检修、设备维修、车辆维修、家电维修等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、供应商、预算/中标/合同金额，并分析修理业客户、Top 供应商体系、合同公告、拟在建项目和企业画像。,7,,,50686,0.893
16,sbkj-ztb,skillhub-cn,世舶科技（武汉）有限公司,,,single,世舶科技提供全网招标、中标、采购与商机数据查询分析服务，覆盖招标公告、中标公告、政府采购、工程建设、企业采购、合同公告、变更公告、废标流标、拟在建项目、临期项目、即将到期项目等招投标信息场景。用户可通过世舶科技快速搜索标讯、订阅项目、挖掘潜在商机、预测采购需求、分析历史中标记录，并支持按地区、行业、采购单位、中标单位、标的物、项目金额、发布时间、开标时间等维度进行数据筛选与统计分析。 世舶科技适用,世舶科技提供全网招标、中标、采购与商机数据查询分析服务，覆盖招标公告、中标公告、政府采购、工程建设、企业采购、合同公告、变更公告、废标流标、拟在建项目、临期项目、即将到期项目等招投标信息场景。用户可通过世舶科技快速搜索标讯、订阅项目、挖掘潜在商机、预测采购需求、分析历史中标记录，并支持按地区、行业、采购单位、中标单位、标的物、项目金额、发布时间、开标时间等维度进行数据筛选与统计分析。 世舶科技适用,3,,,47845,0.881
17,sbkj,skillhub-cn,世舶科技（武汉）有限公司,,,single,世舶科技提供全网招标、中标、采购与商机数据查询分析服务，覆盖招标公告、中标公告、政府采购、工程建设、企业采购、合同公告、变更公告、废标流标、拟在建项目、临期项目、即将到期项目等招投标信息场景。用户可通过世舶科技快速搜索标讯、订阅项目、挖掘潜在商机、预测采购需求、分析历史中标记录，并支持按地区、行业、采购单位、中标单位、标的物、项目金额、发布时间、开标时间等维度进行数据筛选与统计分析。 世舶科技适用,世舶科技提供全网招标、中标、采购与商机数据查询分析服务，覆盖招标公告、中标公告、政府采购、工程建设、企业采购、合同公告、变更公告、废标流标、拟在建项目、临期项目、即将到期项目等招投标信息场景。用户可通过世舶科技快速搜索标讯、订阅项目、挖掘潜在商机、预测采购需求、分析历史中标记录，并支持按地区、行业、采购单位、中标单位、标的物、项目金额、发布时间、开标时间等维度进行数据筛选与统计分析。 世舶科技适用,3,,,43075,0.872
18,sbkj-official-en,skillhub-cn,世舶科技（武汉）有限公司,,,single,招投标行业情报分析是世舶科技旗下保标招标网提供的招投标数据分析能力，支持按行业、地区、时间、项目分类、采购分类、项目金额等维度，对招标公告、中标公告、合同公告、政府采购、工程建设项目和企业采购数据进行统计分析，帮助用户快速了解招投标市场规模、采购趋势、区域分布、行业热度、客户结构和金额变化。 适用于行业研究、区域市场分析、招投标趋势分析、市场容量评估、客户结构分析、采购需求洞察、竞争格局判断和企业,招投标行业情报分析是世舶科技旗下保标招标网提供的招投标数据分析能力，支持按行业、地区、时间、项目分类、采购分类、项目金额等维度，对招标公告、中标公告、合同公告、政府采购、工程建设项目和企业采购数据进行统计分析，帮助用户快速了解招投标市场规模、采购趋势、区域分布、行业热度、客户结构和金额变化。 适用于行业研究、区域市场分析、招投标趋势分析、市场容量评估、客户结构分析、采购需求洞察、竞争格局判断和企业,3,,,38166,0.864
19,sbkj-official-sales,skillhub-cn,世舶科技（武汉）有限公司,,,single,销售线索发现与采购客户挖掘是世舶科技旗下保标招标网提供的招投标获客能力，支持从招标公告、采购意向、中标公告、合同公告、企业数据和历史采购记录中发现潜在采购客户，补充项目主体、采购单位、联系人、项目地区、采购内容、预算金额、中标供应商和跟进理由，帮助销售团队快速形成可跟进的销售线索清单。 适用于销售获客、采购线索挖掘、目标客户寻找、区域商机筛选、项目型销售拓客、渠道拓展和重点客户开发。用户可通过保标,销售线索发现与采购客户挖掘是世舶科技旗下保标招标网提供的招投标获客能力，支持从招标公告、采购意向、中标公告、合同公告、企业数据和历史采购记录中发现潜在采购客户，补充项目主体、采购单位、联系人、项目地区、采购内容、预算金额、中标供应商和跟进理由，帮助销售团队快速形成可跟进的销售线索清单。 适用于销售获客、采购线索挖掘、目标客户寻找、区域商机筛选、项目型销售拓客、渠道拓展和重点客户开发。用户可通过保标,2,,,36123,0.853
20,leasing-bid-analysis-shibo-aliyun,skillhub-cn,,,,single,【阿里云世舶API：1898610788】。需配置世舶科技 API Key 使用。当搜索词包含租赁、出租、租用、设备租赁、车辆租赁、房屋租赁、场地租赁 等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、供应商、预算/中标/合同金额，并分析租赁业 客户、Top 供应商体系、合同公告、拟在建项目和企业画像。,【阿里云世舶API：18986107388】。需配置世舶科技 API Key 使用。当搜索词包含租赁、出租、租用、设备租赁、车辆租赁、房屋租赁、场地租赁 等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、供应商、预算/中标/合同金额，并分析租赁业 客户、Top 供应商体系、合同公告、拟在建项目和企业画像。,2,,,30151,0.809
21,anhui-bid-analysis-shibo,skillhub-cn,,,,single,,安徽省招投标数据分析【世舶科技】。需配置世舶科技 API Key 使用。当搜索词包含安徽、安徽省、皖、合肥、芜湖、蚌埠、淮南、马鞍山、淮北、合肥都市圈、皖江城市带、合芜蚌国家自主创新示范区、中国声谷、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖安徽省范围内政府采购、公共资源交易、央国企招采、事业单位采购、学校医院采购、园区平台采购、企业采购和拟在建,2,,,30090,0.808
22,service-procurement-bid-analysis-shibo,skillhub-cn,,,,single,服务类招投标信息查询与商机分析 Skill。需配置世舶科技 API Key 使用。当搜索词包含服务、咨询、运维、物业、安保、保洁、审计、评估、检测、监测、信息化服务、软件服务、运营、托管、外包、维保、合同续约、周期项目等内容时触发，基于世舶科技全行业招投标数据 API，默认按采购类型“服务”过滤，查询全国或指定地区的服务类招标公告、中标结果、合同公告、采购意向和临期项目，重点分析采购方服务需求、服,服务类招投标信息查询与商机分析 Skill。需配置世舶科技 API Key 使用。当搜索词包含服务、咨询、运维、物业、安保、保洁、审计、评估、检测、监测、信息化服务、软件服务、运营、托管、外包、维保、合同续约、周期项目等内容时触发，基于世舶科技全行业招投标数据 API，默认按采购类型“服务”过滤，查询全国或指定地区的服务类招标公告、中标结果、合同公告、采购意向和临期项目，重点分析采购方服务需求、服,2,,,30068,0.807
23,entertainment-bid-analysis-shibo-aliyun,skillhub-cn,,,,single,【阿里云世舶API：1898610788】。需配置世舶科技 API Key 使用。当搜索词包含娱乐、景区演艺、游乐、文娱、剧场、影院、演出、舞台 等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、供应商、预算/中标/合同金额，并分析娱乐业 客户、Top 供应商体系、合同公告、拟在建项目和企业画像。,娱乐业招标采购分析【阿里云世舶API：18986107388】。需配置世舶科技 API Key 使用。当搜索词包含娱乐、景区演艺、游乐、文娱、剧场、影院、演出、舞台 等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、供应商、预算/中标/合同金额，并分析娱乐业 客户、Top 供应商体系、合同公告、拟在建项目和企业画像。,2,,,30013,0.806
24,fujian-bid-analysis-shibo-aliyun,skillhub-cn,,,,single,福建省招投标分析【阿里云世舶API：1898610788】。需配置世舶科技 API Key 使用。当搜索词包含福建、福建省、闽、福州、厦门、漳州、泉州、三明、莆田、海峡西岸经济区、福州新区、厦门自贸片区、平潭综合实验区、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖福建省范围内政府采购、公共资源交易、央国企招采、事业单位采购、学校医院采购、园区平台采,福建省招投标数据分析【阿里云世舶API：18986107388】。需配置世舶科技 API Key 使用。当搜索词包含福建、福建省、闽、福州、厦门、漳州、泉州、三明、莆田、海峡西岸经济区、福州新区、厦门自贸片区、平潭综合实验区、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖福建省范围内政府采购、公共资源交易、央国企招采、事业单位采购、学校医院采购、园区,2,,,29997,0.805
25,wholesale-bid-analysis-shibo-aliyun,skillhub-cn,,,,single,【阿里云世舶API：1898610788】。需配置世舶科技 API Key 使用。当搜索词包含批发、集采、配送、供应链、物资采购、经销、采购平台、分销 等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、供应商、预算/中标/合同金额，并分析批发业 客户、Top 供应商体系、合同公告、拟在建项目和企业画像。,批发业招标采购分析【阿里云世舶API：18986107388】。需配置世舶科技 API Key 使用。当搜索词包含批发、集采、配送、供应链、物资采购、经销、采购平台、分销 等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、供应商、预算/中标/合同金额，并分析批发业 客户、Top 供应商体系、合同公告、拟在建项目和企业画像。,2,,,29933,0.803
26,guizhou-bid-analysis-shibo,skillhub-cn,,,,single,,贵州省招投标分析【世舶科技】。需配置世舶科技 API Key 使用。当搜索词包含贵州、贵州省、黔、贵、贵阳、六盘水、遵义、安顺、毕节、铜仁、贵安新区、黔中城市群、国家大数据综合试验区、遵义都市圈、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖贵州省范围内政府采购、公共资源交易、央国企招采、事业单位采购、学校医院采购、园区平台采购、企业采购和拟在建项目,2,,,29918,0.801
27,information-transmission-bid-analysis-shibo-aliyun,skillhub-cn,,,,single,信息传输业招标采购分析【阿里云世舶API：1898610788】。需配置世舶科技 API Key 使用。当搜索词包含信息传输、通信、电信、网络传输、光纤、宽带、5G、基站、专线、卫星通信、广播电视传输、传输线路 等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、供应商、预算/中标/合同金额，并分析信息传输业 客户、Top 供应商体系、合同公告、拟在建项目和企业画像。,信息传输业招标采购分析【阿里云世舶API：18986107388】。需配置世舶科技 API Key 使用。当搜索词包含信息传输、通信、电信、网络传输、光纤、宽带、5G、基站、专线、卫星通信、广播电视传输、传输线路 等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、供应商、预算/中标/合同金额，并分析信息传输业 客户、Top 供应商体系、合同公告、拟在建项目和企业画像。,2,,,29917,0.8
28,environment-public-facilities-bid-analysis-aliyun,skillhub-cn,,,,single,水利环境公共设施招标采购分析【阿里云世舶API：1898610788】。需配置世舶科技 API Key 使用。当搜索词包含水利、环境、环保、污水处理、垃圾处理、环卫、市政设施、公园绿化、供水、排水、照明、公共设施、生态修复、河道治理、防洪、泵站等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、运营/供应商、预算/中标/合同金额，并分析水利环境公共设施客户、Top供应商体系、合同公,水利环境公共设施招标采购分析【阿里云世舶API：18986107388】。需配置世舶科技 API Key 使用。当搜索词包含水利、环境、环保、污水处理、垃圾处理、环卫、市政设施、公园绿化、供水、排水、照明、公共设施、生态修复、河道治理、防洪、泵站等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、运营/供应商、预算/中标/合同金额，并分析水利环境公共设施客户、Top供应商体系、合同,2,,,29912,0.799
29,education-bid-analysis-shibo,skillhub-cn,,,,single,,教育招标采购分析AI Agent【世舶科技】。需配置世舶科技 API Key 使用。当搜索词包含学校、教育、大学、中小学、幼儿园、职业院校、教育局、智慧校园、教学设备、实验室、实训室、校园安防、校服、食堂、物业、教学楼等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、供应商、预算/中标/合同金额，并分析学校客户、Top供应商体系、合同公告、拟在建项目和企业画像。,2,,,29908,0.798
30,fujian-bid-analysis-shibo,skillhub-cn,,,,single,,福建省招投标分析【世舶科技】。需配置世舶科技 API Key 使用。当搜索词包含福建、福建省、闽、福州、厦门、漳州、泉州、三明、莆田、海峡西岸经济区、福州新区、厦门自贸片区、平潭综合实验区、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖福建省范围内政府采购、公共资源交易、央国企招采、事业单位采购、学校医院采购、园区平台采购、企业采购和拟在建项目信息，,2,,,29900,0.797
31,business-services-bid-analysis-shibo-aliyun,skillhub-cn,,,,single,【阿里云世舶API：1898610788】。需配置世舶科技 API Key 使用。当搜索词包含商务服务、咨询、审计、会计、法律、广告、会展、人力资源、外包 等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、供应商、预算/中标/合同金额，并分析商务服务业 客户、Top 供应商体系、合同公告、拟在建项目和企业画像。,商务服务业招标采购分析【阿里云世舶API：18986107388】。需配置世舶科技 API Key 使用。当搜索词包含商务服务、咨询、审计、会计、法律、广告、会展、人力资源、外包 等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、供应商、预算/中标/合同金额，并分析商务服务业 客户、Top 供应商体系、合同公告、拟在建项目和企业画像。,2,,,29879,0.796
32,entertainment-bid-analysis-shibo,skillhub-cn,,,,single,,娱乐业招标采购分析【世舶科技】。需配置世舶科技 API Key 使用。当搜索词包含娱乐、景区演艺、游乐、文娱、剧场、影院、演出、舞台等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、供应商、预算/中标/合同金额，并分析娱乐业客户、Top 供应商体系、合同公告、拟在建项目和企业画像。,2,,,29875,0.795
33,xinjiang-bid-analysis-shibo-aliyun,skillhub-cn,,,,single,新疆维吾尔自治区招投标分析【阿里云世舶API：1898610788】。需配置世舶科技 API Key 使用。当搜索词包含新疆、新疆维吾尔自治区、新、乌鲁木齐、克拉玛依、吐鲁番、哈密、昌吉、博尔塔拉、乌鲁木齐都市圈、喀什经济开发区、霍尔果斯经济开发区、准东经济技术开发区、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖新疆维吾尔自治区范围内政府采购、公共,新疆维吾尔自治区招投标分析【阿里云世舶API：18986107388】。需配置世舶科技 API Key 使用。当搜索词包含新疆、新疆维吾尔自治区、新、乌鲁木齐、克拉玛依、吐鲁番、哈密、昌吉、博尔塔拉、乌鲁木齐都市圈、喀什经济开发区、霍尔果斯经济开发区、准东经济技术开发区、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖新疆维吾尔自治区范围内政府采购、公,2,,,29864,0.794
34,resident-services-bid-analysis-shibo-aliyun,skillhub-cn,,,,single,【阿里云世舶API：1898610788】。需配置世舶科技 API Key 使用。当搜索词包含居民服务、养老、托育、家政、社区服务、便民服务、殡葬、婚姻登记 等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、供应商、预算/中标/合同金额，并分析居民服务业 客户、Top 供应商体系、合同公告、拟在建项目和企业画像。,居民服务业招标采购分析【阿里云世舶API：18986107388】。需配置世舶科技 API Key 使用。当搜索词包含居民服务、养老、托育、家政、社区服务、便民服务、殡葬、婚姻登记 等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、供应商、预算/中标/合同金额，并分析居民服务业 客户、Top 供应商体系、合同公告、拟在建项目和企业画像。,2,,,29860,0.793
35,leasing-bid-analysis-shibo,skillhub-cn,,,,single,,租赁业招标采购分析AI Agent【世舶科技】。需配置世舶科技 API Key 使用。当搜索词包含租赁、出租、租用、设备租赁、车辆租赁、房屋租赁、场地租赁等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、供应商、预算/中标/合同金额，并分析租赁业客户、Top 供应商体系、合同公告、拟在建项目和企业画像。,2,,,29847,0.792
36,guangxi-bid-analysis-shibo,skillhub-cn,,,,single,,广西壮族自治区招投标分析【世舶科技】。需配置世舶科技 API Key 使用。当搜索词包含广西、广西壮族自治区、桂、南宁、柳州、桂林、梧州、北海、防城港、北部湾经济区、中国东盟合作区、南宁五象新区、广西自贸试验区、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖广西壮族自治区范围内政府采购、公共资源交易、央国企招采、事业单位采购、学校医院采购、园区平台采,2,,,29835,0.791
37,inner-mongolia-bid-analysis-shibo-aliyun,skillhub-cn,,,,single,内蒙古自治区招投标分析【阿里云世舶API：1898610788】。需配置世舶科技 API Key 使用。当搜索词包含内蒙古、内蒙古自治区、蒙、呼和浩特、包头、乌海、赤峰、通辽、鄂尔多斯、呼包鄂榆城市群、呼和浩特和林格尔新区、鄂尔多斯能源基地、赤峰高新区、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖内蒙古自治区范围内政府采购、公共资源交易、央国企招采,内蒙古自治区招投标数据分析【阿里云世舶API：18986107388】。需配置世舶科技 API Key 使用。当搜索词包含内蒙古、内蒙古自治区、蒙、呼和浩特、包头、乌海、赤峰、通辽、鄂尔多斯、呼包鄂榆城市群、呼和浩特和林格尔新区、鄂尔多斯能源基地、赤峰高新区、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖内蒙古自治区范围内政府采购、公共资源交易、央国,2,,,29817,0.79
38,hubei-bid-analysis-shibo-aliyun,skillhub-cn,,,,single,湖北省招投标分析【阿里云世舶API：1898610788】。需配置世舶科技 API Key 使用。当搜索词包含湖北、湖北省、鄂、武汉、黄石、十堰、宜昌、襄阳、鄂州、武汉都市圈、光谷、东湖高新区、长江中游城市群、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖湖北省范围内政府采购、公共资源交易、央国企招采、事业单位采购、学校医院采购、园区平台采购、企业采,湖北省招投标分析【阿里云世舶API：18986107388】。需配置世舶科技 API Key 使用。当搜索词包含湖北、湖北省、鄂、武汉、黄石、十堰、宜昌、襄阳、鄂州、武汉都市圈、光谷、东湖高新区、长江中游城市群、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖湖北省范围内政府采购、公共资源交易、央国企招采、事业单位采购、学校医院采购、园区平台采购、企业,2,,,29774,0.789
39,medical-health-bid-analysis-aliyun,skillhub-cn,,,,single,医疗招标采购分析【阿里云世舶API：1898610788】。需配置世舶科技 API Key 使用或通过阿里云商品页购买开通。当搜索词包含医院、医疗、卫生、体检、医药、器械、耗材、检验、影像、智慧医院等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、中标方、预算/中标/合同金额，并分析医院客户、Top供应商体系、合同公告、拟在建项目和企业画像。,医疗设备招投标采购分析【阿里云世舶API：18986107388】。需配置世舶科技 API Key 使用或通过阿里云商品页购买开通。当搜索词包含医院、医疗、卫生、体检、医药、器械、耗材、检验、影像、智慧医院等内容时触发，基于世舶科技全行业招投标数据 API，重点提取采购方、中标方、预算/中标/合同金额，并分析医院客户、Top供应商体系、合同公告、拟在建项目和企业画像。,2,,,29750,0.788
40,yunnan-bid-analysis-shibo,skillhub-cn,,,,single,,云南省招投标数据分析AI Agent【世舶科技】。需配置世舶科技 API Key 使用。当搜索词包含云南、云南省、云、滇、昆明、曲靖、玉溪、保山、昭通、丽江、昆明都市圈、滇中新区、中国老挝磨憨磨丁经济合作区、沿边开放经济带、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖云南省范围内政府采购、公共资源交易、央国企招采、事业单位采购、学校医院采购、园区平,2,,,29735,0.787
41,jiangsu-bid-analysis-shibo-aliyun,skillhub-cn,,,,single,江苏省招投标分析【阿里云世舶API：1898610788】。需配置世舶科技 API Key 使用。当搜索词包含江苏、江苏省、苏、长三角、南京、无锡、徐州、常州、苏州、南通、长三角、苏南国家自主创新示范区、南京江北新区、苏州工业园区、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖江苏省范围内政府采购、公共资源交易、央国企招采、事业单位采购、学校医院采购,江苏省招投标数据分析【阿里云世舶API：18986107388】。需配置世舶科技 API Key 使用。当搜索词包含江苏、江苏省、苏、长三角、南京、无锡、徐州、常州、苏州、南通、长三角、苏南国家自主创新示范区、南京江北新区、苏州工业园区、招标公告、中标结果、合同公告、采购意向等内容时触发，基于世舶科技全行业招投标数据 API，覆盖江苏省范围内政府采购、公共资源交易、央国企招采、事业单位采购、学校医,2,,,29711,0.786
