rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,installs_skillssh,trending_rank_skillssh,weekly_recent,weekly_prev,growth_pct,data_source
27,improve-codebase-architecture,skills.sh,mattpocock,mattpocock/skills,,single,,,725462,27,54240,63780,-15,skills.sh-trending
28,tdd,skills.sh,mattpocock,mattpocock/skills,,single,,,701198,28,52249,63627,-17.9,skills.sh-trending
29,domain-modeling,skills.sh,mattpocock,mattpocock/skills,,single,,,427835,29,52076,60145,-13.4,skills.sh-trending
30,diagnosing-bugs,skills.sh,mattpocock,mattpocock/skills,,single,,,410234,30,49914,59214,-15.7,skills.sh-trending
31,to-spec,skills.sh,mattpocock,mattpocock/skills,,single,,,310865,31,49738,61040,-18.5,skills.sh-trending
32,handoff,skills.sh,mattpocock,mattpocock/skills,,single,,,608837,32,48859,58162,-16,skills.sh-trending
33,to-tickets,skills.sh,mattpocock,mattpocock/skills,,single,,,304467,33,47951,57752,-17,skills.sh-trending
34,wayfinder,skills.sh,mattpocock,mattpocock/skills,,single,,,324001,34,48729,60412,-19.3,skills.sh-trending
35,code-review,skills.sh,mattpocock,mattpocock/skills,,single,,,351987,35,50927,61595,-17.3,skills.sh-trending
36,codebase-design,skills.sh,mattpocock,mattpocock/skills,,single,,,416012,36,50766,60375,-15.9,skills.sh-trending
37,triage,skills.sh,mattpocock,mattpocock/skills,,single,,,605497,37,47409,58240,-18.6,skills.sh-trending
38,setup-matt-pocock-skills,skills.sh,mattpocock,mattpocock/skills,,single,,,644964,38,49250,61714,-20.2,skills.sh-trending
39,prototype,skills.sh,mattpocock,mattpocock/skills,,single,,,593045,39,48412,60846,-20.4,skills.sh-trending
40,implement,skills.sh,mattpocock,mattpocock/skills,,single,,,373463,40,45552,55168,-17.4,skills.sh-trending
41,research,skills.sh,mattpocock,mattpocock/skills,,single,,,318825,41,45018,54803,-17.9,skills.sh-trending
42,ask-matt,skills.sh,mattpocock,mattpocock/skills,,single,,,381530,42,44321,55243,-19.8,skills.sh-trending
43,teach,skills.sh,mattpocock,mattpocock/skills,,single,,,472112,43,44680,53989,-17.2,skills.sh-trending
44,prisma-client-api,skills.sh,prisma,prisma/skills,,single,,,193801,44,41584,43897,-5.3,skills.sh-trending
45,prisma-database-setup,skills.sh,prisma,prisma/skills,,single,,,194474,45,41540,43800,-5.2,skills.sh-trending
46,prisma-cli,skills.sh,prisma,prisma/skills,,single,,,191797,46,41486,43794,-5.3,skills.sh-trending
47,prisma-postgres,skills.sh,prisma,prisma/skills,,single,,,188144,47,41345,43650,-5.3,skills.sh-trending
48,prisma-postgres-setup,skills.sh,prisma,prisma/skills,,single,,,182594,48,41296,43568,-5.2,skills.sh-trending
49,prisma-driver-adapter-implementation,skills.sh,prisma,prisma/skills,,single,,,183923,49,41229,43492,-5.2,skills.sh-trending
50,prisma-upgrade-v7,skills.sh,prisma,prisma/skills,,single,,,183802,50,41220,43455,-5.1,skills.sh-trending
51,prisma-compute,skills.sh,prisma,prisma/skills,,single,,,179216,51,41201,43410,-5.1,skills.sh-trending
52,prisma-mongodb-upgrade,skills.sh,prisma,prisma/skills,,single,,,178002,52,41143,43366,-5.1,skills.sh-trending
53,resolving-merge-conflicts,skills.sh,mattpocock,mattpocock/skills,,single,,,309187,53,42167,50799,-17,skills.sh-trending
54,writing-for-agents,skills.sh,mattpocock,mattpocock/skills,,single,,,85228,54,42587,36269,17.4,skills.sh-trending
55,wait-what,skills.sh,mattpocock,mattpocock/skills,,single,,,82907,55,42010,34647,,skills.sh-trending
56,wizard,skills.sh,mattpocock,mattpocock/skills,,single,,,195283,56,41317,42981,-3.9,skills.sh-trending
57,agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,single,,,690948,57,36656,33224,10.3,skills.sh-trending
58,to-questionnaire,skills.sh,mattpocock,mattpocock/skills,,single,,,143735,58,40766,41844,-2.6,skills.sh-trending
59,hyperframes-animation,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,278704,59,28486,27458,3.7,skills.sh-trending
60,hyperframes-keyframes,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,194637,60,25398,21733,16.9,skills.sh-trending
61,lark-apps,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,493131,61,31176,33728,-7.6,skills.sh-trending
62,lark-base,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,584406,62,31249,33798,-7.5,skills.sh-trending
63,lark-doc,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,584541,63,31236,33810,-7.6,skills.sh-trending
64,lark-calendar,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,583961,64,31126,33729,-7.7,skills.sh-trending
65,lark-drive,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,584155,65,31172,33779,-7.7,skills.sh-trending
66,lark-shared,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,584034,66,31157,33772,-7.7,skills.sh-trending
67,lark-wiki,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,583618,67,31136,33717,-7.7,skills.sh-trending
68,lark-im,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,583935,68,31136,33753,-7.8,skills.sh-trending
69,lark-sheets,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,583667,69,31121,33736,-7.8,skills.sh-trending
70,lark-minutes,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,583472,70,31100,33708,-7.7,skills.sh-trending
71,lark-slides,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,583222,71,31074,33681,-7.7,skills.sh-trending
72,lark-event,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,583508,72,31052,33712,-7.9,skills.sh-trending
73,lark-note,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,367595,73,31051,33669,-7.8,skills.sh-trending
74,lark-vc,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,583101,74,31060,33664,-7.7,skills.sh-trending
75,lark-task,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,583329,75,31072,33674,-7.7,skills.sh-trending
76,lark-approval,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,584392,76,31090,33745,-7.9,skills.sh-trending
77,lark-contact,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,583784,77,31057,33713,-7.9,skills.sh-trending
78,lark-attendance,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,583498,78,31024,33674,-7.9,skills.sh-trending
79,lark-mail,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,583329,79,31034,33671,-7.8,skills.sh-trending
80,lark-okr,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,564023,80,31014,33627,-7.8,skills.sh-trending
81,lark-openapi-explorer,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,583389,81,31037,33684,-7.9,skills.sh-trending
82,lark-markdown,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,549169,82,31059,33693,-7.8,skills.sh-trending
83,lark-whiteboard,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,583383,83,31069,33701,-7.8,skills.sh-trending
84,lark-vc-agent,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,527793,84,31027,33626,-7.7,skills.sh-trending
85,lark-skill-maker,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,583147,85,31012,33673,-7.9,skills.sh-trending
86,lark-workflow-meeting-summary,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,582940,86,30994,33631,-7.8,skills.sh-trending
87,lark-workflow-standup-report,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,582931,87,31001,33648,-7.9,skills.sh-trending
88,hyperframes-cli,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,395540,88,38236,28363,34.8,skills.sh-trending
89,hyperframes-registry,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,349797,89,37717,21925,72,skills.sh-trending
90,hyperframes-audio,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,4124,90,,,,skills.sh-trending
91,agent-browser,skills.sh,skills-101,skills-101/superpowers,,single,,,36855,91,29902,2680,,skills.sh-trending
92,hyperframes,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,384024,92,34140,27453,24.4,skills.sh-trending
93,hyperframes-core,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,279910,93,27491,26653,3.1,skills.sh-trending
94,orca-cli,skills.sh,stablyai,stablyai/orca,,single,,,141711,94,37267,17899,108.2,skills.sh-trending
95,frontend-design,skills.sh,anthropics,anthropics/skills,,single,,,787412,95,24760,25773,-3.9,skills.sh-trending
96,design-taste-frontend,skills.sh,leonxlnx,leonxlnx/taste-skill,,single,,,370036,96,24487,26808,-8.7,skills.sh-trending
97,media-use,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,278743,97,36304,33673,7.8,skills.sh-trending
98,web-design-guidelines,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,550387,98,18063,18715,-3.5,skills.sh-trending
99,vercel-react-best-practices,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,639910,99,17464,18816,-7.2,skills.sh-trending
100,hyperframes-creative,skills.sh,heygen-com,heygen-com/hyperframes,,single,,,260151,100,25670,23070,11.3,skills.sh-trending
